task_id_list	courier_id	total_score	willingness
T0000	C000	24.493	0.0987
T0000	C001	72.238	0.2187
T0000	C002	40.274	0.4493
T0000	C003	16.359	0.6164
T0000	C004	52.136	0.7675
T0000	C005	99.393	0.1518
T0000	C006	54.861	0.2993
T0000	C007	41.210	0.4759
T0000	C008	80.567	0.6768
T0000	C009	93.479	0.8079
T0000	C010	102.436	0.1837
T0000	C011	45.537	0.4079
T0000	C012	51.047	0.5739
T0000	C013	52.034	0.7213
T0000	C014	34.840	0.1287
T0000	C015	48.593	0.2891
T0000	C016	112.021	0.4281
T0000	C017	92.893	0.6421
T0000	C018	58.755	0.7772
T0000	C019	61.888	0.2231
T0000	C020	120.000	0.3833
T0000	C021	106.968	0.5163
T0000	C022	49.869	0.7098
T0000	C023	17.041	0.0773
T0000	C024	49.730	0.2953
T0000	C025	39.446	0.4655
T0000	C026	61.619	0.6223
T0000	C027	73.552	0.7744
T0000	C028	103.413	0.1627
T0000	C029	47.603	0.3010
T0000	C030	83.840	0.4994
T0000	C031	104.275	0.6660
T0000	C032	111.714	0.8459
T0000	C033	33.949	0.2084
T0000	C034	40.472	0.3993
T0000	C035	91.133	0.5906
T0000	C036	42.322	0.7468
T0000	C037	5.002	0.1139
T0000	C038	60.874	0.2764
T0000	C039	77.152	0.4598
T0000	C040	45.319	0.6599
T0000	C041	83.635	0.8188
T0000	C042	110.067	0.2024
T0000	C043	120.000	0.3491
T0000	C044	74.109	0.5710
T0000	C045	48.131	0.7301
T0000	C046	28.861	0.0627
T0000	C047	81.120	0.2931
T0000	C048	81.168	0.4574
T0000	C049	50.238	0.6227
T0000	C050	95.601	0.7980
T0000	C051	96.229	0.1996
T0000	C052	109.994	0.3525
T0000	C053	87.563	0.5367
T0000	C054	3.000	0.6585
T0000	C055	43.276	0.8407
T0000	C056	31.379	0.2698
T0000	C057	51.432	0.3725
T0000	C058	29.750	0.5887
T0000	C059	66.211	0.7220
T0000	C060	87.018	0.1635
T0000	C061	63.812	0.2949
T0000	C062	66.325	0.5026
T0000	C063	81.513	0.6847
T0000	C064	102.689	0.8554
T0000	C065	41.168	0.1778
T0000	C066	23.669	0.4026
T0000	C067	87.948	0.5614
T0000	C068	43.024	0.7530
T0000	C069	38.092	0.0807
T0001	C000	38.032	0.1906
T0001	C001	57.129	0.3582
T0001	C002	4.916	0.5503
T0001	C003	58.893	0.6801
T0001	C004	25.614	0.1029
T0001	C005	91.490	0.3017
T0001	C006	31.329	0.4508
T0001	C007	47.854	0.6210
T0001	C008	52.536	0.7949
T0001	C009	101.866	0.1524
T0001	C010	62.202	0.3455
T0001	C011	28.864	0.5306
T0001	C012	29.555	0.7274
T0001	C013	16.900	0.0721
T0001	C014	31.149	0.2230
T0001	C015	56.968	0.3935
T0001	C016	42.607	0.5999
T0001	C017	24.869	0.7411
T0001	C018	36.717	0.1127
T0001	C019	118.393	0.3459
T0001	C020	81.777	0.5210
T0001	C021	61.564	0.6640
T0001	C022	59.609	0.8491
T0001	C023	7.510	0.2491
T0001	C024	3.287	0.3939
T0001	C025	43.715	0.5948
T0001	C026	73.649	0.7391
T0001	C027	55.349	0.1295
T0001	C028	68.740	0.3119
T0001	C029	79.149	0.4583
T0001	C030	85.897	0.6438
T0001	C031	100.551	0.7627
T0001	C032	99.421	0.2054
T0001	C033	3.000	0.3868
T0001	C034	18.455	0.5122
T0001	C035	39.081	0.6717
T0001	C036	73.730	0.0691
T0001	C037	28.961	0.2301
T0001	C038	65.686	0.4290
T0001	C039	52.610	0.5884
T0001	C040	96.171	0.7635
T0001	C041	102.017	0.1553
T0001	C042	100.517	0.3338
T0001	C043	79.523	0.5264
T0001	C044	53.263	0.7093
T0001	C045	3.000	0.8761
T0001	C046	6.770	0.2375
T0001	C047	64.480	0.3862
T0001	C048	90.563	0.5605
T0001	C049	40.027	0.7526
T0001	C050	104.677	0.1061
T0001	C051	22.735	0.3217
T0001	C052	44.904	0.4902
T0001	C053	106.598	0.6090
T0001	C054	73.529	0.8081
T0001	C055	34.228	0.2271
T0001	C056	26.703	0.3400
T0001	C057	82.526	0.5133
T0001	C058	61.313	0.6712
T0001	C059	54.588	0.0644
T0001	C060	23.438	0.2821
T0001	C061	66.117	0.4454
T0001	C062	83.691	0.6181
T0001	C063	45.928	0.8060
T0001	C064	111.364	0.1684
T0001	C065	49.700	0.3163
T0001	C066	23.564	0.5099
T0001	C067	16.522	0.6526
T0001	C068	3.000	0.8165
T0001	C069	54.036	0.2730
T0002	C000	34.785	0.3768
T0002	C001	54.941	0.4985
T0002	C002	10.391	0.6545
T0002	C003	67.211	0.8109
T0002	C004	40.467	0.2027
T0002	C005	27.579	0.3862
T0002	C006	21.984	0.5652
T0002	C007	24.424	0.7822
T0002	C008	50.241	0.1726
T0002	C009	108.792	0.3456
T0002	C010	83.668	0.5093
T0002	C011	47.024	0.6729
T0002	C012	54.490	0.8142
T0002	C013	52.874	0.2038
T0002	C014	29.645	0.3943
T0002	C015	12.923	0.5798
T0002	C016	69.970	0.6835
T0002	C017	58.380	0.0784
T0002	C018	5.801	0.2553
T0002	C019	95.694	0.4821
T0002	C020	60.010	0.6344
T0002	C021	36.785	0.7607
T0002	C022	32.245	0.2114
T0002	C023	17.026	0.3524
T0002	C024	39.206	0.5460
T0002	C025	56.112	0.7081
T0002	C026	63.863	0.1087
T0002	C027	49.913	0.2362
T0002	C028	42.107	0.4455
T0002	C029	50.914	0.5838
T0002	C030	44.048	0.7445
T0002	C031	108.336	0.1128
T0002	C032	95.004	0.3505
T0002	C033	12.163	0.4766
T0002	C034	80.926	0.6393
