task_id_list	courier_id	total_score	willingness
T0000	C000	26.756	0.0843
T0000	C001	41.546	0.2480
T0000	C002	44.846	0.4118
T0000	C003	45.834	0.5903
T0000	C004	75.025	0.7976
T0000	C005	63.455	0.1190
T0000	C006	70.886	0.2976
T0000	C007	69.545	0.4602
T0000	C008	117.719	0.6643
T0000	C009	99.247	0.8590
T0000	C010	110.565	0.2489
T0000	C011	17.629	0.3732
T0000	C012	45.395	0.5502
T0000	C013	31.508	0.7425
T0000	C014	49.206	0.1409
T0000	C015	44.679	0.2657
T0000	C016	77.609	0.4428
T0000	C017	86.479	0.6655
T0000	C018	59.392	0.7709
T0000	C019	86.092	0.1698
T0000	C020	119.916	0.3960
T0000	C021	108.307	0.5316
T0000	C022	26.080	0.6648
T0000	C023	20.501	0.0679
T0000	C024	72.559	0.2944
T0000	C025	51.664	0.4520
T0000	C026	55.335	0.6090
T0000	C027	62.008	0.7413
T0000	C028	72.575	0.1402
T0000	C029	86.243	0.3677
T0000	C030	106.594	0.4632
T0000	C031	92.253	0.7074
T0000	C032	108.987	0.8500
T0000	C033	37.132	0.2467
T0000	C034	23.801	0.4134
T0000	C035	70.913	0.5519
T0000	C036	56.844	0.7365
T0000	C037	77.469	0.1568
T0000	C038	45.899	0.3037
T0000	C039	97.837	0.4491
T0000	C040	82.740	0.6378
T0000	C041	101.060	0.8263
T0000	C042	82.908	0.1795
T0000	C043	106.358	0.3994
T0000	C044	49.048	0.5722
T0000	C045	34.874	0.7081
T0000	C046	38.809	0.1149
T0000	C047	73.435	0.2850
T0000	C048	63.133	0.4077
T0000	C049	59.186	0.5703
T0000	C050	56.599	0.8162
T0000	C051	87.846	0.1945
T0000	C052	69.870	0.3011
T0000	C053	88.449	0.5449
T0000	C054	5.088	0.6893
T0000	C055	46.231	0.8382
T0000	C056	24.930	0.2553
T0000	C057	45.560	0.4431
T0000	C058	38.644	0.5790
T0000	C059	76.030	0.7700
T0000	C060	69.487	0.1537
T0000	C061	88.013	0.2991
T0000	C062	90.354	0.4641
T0000	C063	104.282	0.6889
T0000	C064	119.941	0.8269
T0000	C065	24.727	0.2408
T0000	C066	65.692	0.3981
T0000	C067	35.379	0.5626
T0000	C068	50.876	0.7184
T0000	C069	34.992	0.1000
T0000	C070	87.399	0.2817
T0000	C071	90.948	0.4820
T0000	C072	82.539	0.6424
T0000	C073	102.458	0.7781
T0000	C074	97.357	0.2108
T0000	C075	84.538	0.3707
T0000	C076	24.751	0.5113
T0000	C077	38.304	0.6724
T0000	C078	40.813	0.0987
