task_id_list	courier_id	total_score	willingness
T0000	C000	6.790	0.0166
T0000	C001	35.729	0.0769
T0000	C002	39.827	0.1225
T0000	C003	49.654	0.1619
T0000	C004	81.903	0.2100
T0000	C005	69.999	0.0312
T0000	C006	72.524	0.0886
T0000	C007	66.118	0.1411
T0000	C008	82.772	0.1824
T0000	C009	105.503	0.2292
T0000	C010	102.342	0.0530
T0000	C011	21.809	0.1108
T0000	C012	58.062	0.1490
T0000	C013	56.637	0.2110
T0000	C014	63.269	0.0433
T0000	C015	52.253	0.0912
T0000	C016	65.280	0.1214
T0000	C017	81.993	0.1867
T0000	C018	90.913	0.2345
T0000	C019	75.799	0.0560
T0000	C020	115.834	0.0914
T0000	C021	106.043	0.1419
T0000	C022	37.479	0.1934
T0000	C023	15.167	0.0300
T0000	C024	63.061	0.0676
T0000	C025	52.095	0.1313
T0000	C026	43.439	0.1625
T0000	C027	68.535	0.2260
T0000	C028	92.824	0.0434
T0000	C029	86.692	0.0824
T0000	C030	91.611	0.1380
T0000	C031	66.167	0.1920
T0000	C032	113.475	0.2390
T0000	C033	40.729	0.0647
T0000	C034	52.819	0.1230
T0000	C035	78.044	0.1621
T0000	C036	69.476	0.2056
T0000	C037	59.113	0.0395
T0000	C038	63.982	0.0843
T0000	C039	93.295	0.1248
T0000	C040	91.652	0.1771
T0000	C041	79.625	0.2265
T0000	C042	88.815	0.0621
T0000	C043	116.815	0.1110
T0000	C044	41.752	0.1569
T0000	C045	44.017	0.2023
T0000	C046	47.818	0.0329
T0000	C047	41.370	0.0851
T0000	C048	71.255	0.1319
T0000	C049	76.269	0.1756
T0000	C050	62.831	0.2124
T0000	C051	91.944	0.0558
T0000	C052	113.926	0.1028
T0000	C053	102.017	0.1527
T0000	C054	26.521	0.1954
T0000	C055	49.468	0.2359
T0000	C056	57.940	0.0747
T0000	C057	42.379	0.1046
T0000	C058	50.089	0.1582
T0000	C059	74.201	0.2073
T0000	C060	75.318	0.0378
T0000	C061	70.928	0.0948
T0000	C062	67.730	0.1358
T0000	C063	100.757	0.1743
T0000	C064	111.175	0.2239
T0000	C065	27.827	0.0601
T0000	C066	57.544	0.1109
T0000	C067	56.447	0.1605
T0000	C068	62.432	0.2075
T0000	C069	63.426	0.0352
T0001	C000	42.439	0.0541
T0001	C001	29.459	0.0958
T0001	C002	28.860	0.1444
T0001	C003	37.087	0.2098
T0001	C004	50.740	0.0351
T0001	C005	68.233	0.0752
T0001	C006	35.786	0.1258
T0001	C007	77.553	0.1750
T0001	C008	77.998	0.2180
T0001	C009	73.409	0.0603
T0001	C010	71.956	0.0868
T0001	C011	41.492	0.1522
