task_id_list	courier_id	total_score	willingness
T0000	C000	38.974	0.2419
T0000	C001	19.955	0.3169
T0000	C002	32.587	0.3884
T0000	C003	19.878	0.6147
T0000	C004	40.853	0.5037
T0000	C005	12.617	0.3790
T0000	C006	19.490	0.4502
T0000	C007	30.023	0.6663
T0000	C008	48.107	0.3960
T0000	C009	40.534	0.4609
T0000	C010	26.761	0.4846
T0000	C011	49.998	0.3080
T0000	C012	46.128	0.4780
T0000	C013	34.524	0.5217
T0000	C014	45.270	0.5462
T0000	C015	52.328	0.6341
T0000	C016	43.576	0.6034
T0000	C017	45.700	0.4276
T0000	C018	16.032	0.6107
T0000	C019	21.779	0.4013
T0000	C020	49.549	0.4746
T0000	C021	54.513	0.4838
T0000	C022	37.800	0.3366
T0000	C023	40.092	0.5661
T0000	C024	34.975	0.4967
T0000	C025	10.231	0.4610
T0000	C026	28.052	0.4734
T0000	C027	47.144	0.5922
T0000	C028	20.104	0.5783
T0000	C029	43.395	0.5472
T0000	C030	34.727	0.5211
T0000	C031	26.715	0.7071
T0000	C032	21.351	0.5684
T0000	C033	34.780	0.5494
T0000	C034	27.680	0.3642
T0000	C035	49.624	0.7339
T0000	C036	16.594	0.6916
T0000	C037	30.632	0.5504
T0000	C038	12.955	0.3727
T0000	C039	14.137	0.3022
T0000	C040	53.572	0.3517
T0000	C041	28.600	0.4665
T0000	C042	36.074	0.6698
T0000	C043	46.567	0.3985
T0000	C044	52.104	0.4117
T0000	C045	14.164	0.7313
T0000	C046	46.807	0.2708
T0000	C047	46.452	0.3746
T0000	C048	9.150	0.6582
T0000	C049	23.942	0.5957
T0000	C050	31.762	0.7451
T0000	C051	44.803	0.5566
T0000	C052	22.233	0.5799
T0000	C053	44.123	0.2744
T0000	C054	28.170	0.6253
T0000	C055	19.377	0.5018
T0000	C056	33.474	0.4748
T0000	C057	33.681	0.7173
T0000	C058	49.711	0.6420
T0000	C059	29.208	0.4573
T0001	C000	29.087	0.4881
T0001	C001	5.606	0.5718
T0001	C002	16.275	0.6468
T0001	C003	28.700	0.4532
T0001	C004	24.135	0.6000
T0001	C005	22.977	0.3373
T0001	C006	18.725	0.5394
T0001	C007	31.784	0.7116
T0001	C008	32.467	0.2584
T0001	C009	16.644	0.4828
T0001	C010	3.000	0.5836
T0001	C011	26.840	0.5645
T0001	C012	20.054	0.5045
T0001	C013	24.878	0.5422
T0001	C014	24.017	0.2523
T0001	C015	24.217	0.7004
T0001	C016	17.528	0.7080
T0001	C017	20.802	0.3520
T0001	C018	6.367	0.6810
T0001	C019	36.455	0.4064
T0001	C020	28.986	0.5454
T0001	C021	24.919	0.4302
T0001	C022	30.533	0.5833
T0001	C023	16.265	0.6456
T0001	C024	42.908	0.4989
T0001	C025	13.772	0.6566
T0001	C026	24.027	0.6998
T0001	C027	35.368	0.6772
T0001	C028	21.682	0.4830
T0001	C029	17.972	0.4142
T0001	C030	55.909	0.4818
T0001	C031	25.150	0.6021
T0001	C032	26.678	0.4772
T0001	C033	39.818	0.5311
T0001	C034	29.472	0.4516
T0001	C035	15.189	0.4947
T0001	C036	29.334	0.7752
T0001	C037	31.284	0.3530
T0001	C038	41.035	0.4594
T0001	C039	29.889	0.5543
T0001	C040	51.243	0.6053
T0001	C041	28.173	0.3837
T0001	C042	39.510	0.5855
T0001	C043	29.667	0.6507
T0001	C044	31.498	0.5373
T0001	C045	20.431	0.3613
T0001	C046	44.278	0.2913
T0001	C047	13.531	0.3959
T0001	C048	25.035	0.4236
T0001	C049	8.792	0.4669
T0001	C050	16.596	0.7065
T0001	C051	23.081	0.6714
T0001	C052	23.176	0.4195
T0001	C053	20.601	0.3110
T0001	C054	24.078	0.7359
T0001	C055	30.275	0.2602
T0001	C056	3.000	0.3117
T0001	C057	27.847	0.3811
T0001	C058	35.185	0.4647
T0001	C059	38.725	0.7144
T0002	C000	33.723	0.2813
T0002	C001	28.037	0.6951
T0002	C002	52.039	0.6029
T0002	C003	45.786	0.5420
T0002	C004	43.947	0.6077
T0002	C005	41.049	0.3035
T0002	C006	49.091	0.5276
T0002	C007	40.539	0.4422
T0002	C008	59.151	0.3271
T0002	C009	39.186	0.6238
T0002	C010	27.214	0.4762
T0002	C011	61.436	0.3727
T0002	C012	59.071	0.6006
T0002	C013	37.462	0.7541
T0002	C014	52.181	0.4500
T0002	C015	50.605	0.6475
T0002	C016	32.924	0.6877
T0002	C017	37.621	0.6360
T0002	C018	21.660	0.4908
T0002	C019	42.486	0.4154
T0002	C020	42.810	0.5327
T0002	C021	60.391	0.5266
T0002	C022	39.162	0.4082
T0002	C023	35.494	0.4362
T0002	C024	53.971	0.3976
T0002	C025	30.880	0.6965
T0002	C026	34.593	0.4524
T0002	C027	33.185	0.4519
T0002	C028	35.888	0.4347
T0002	C029	32.621	0.5982
T0002	C030	65.281	0.7550
T0002	C031	33.826	0.5530
T0002	C032	37.006	0.3907
T0002	C033	44.034	0.3889
T0002	C034	38.419	0.3390
T0002	C035	42.879	0.6962
T0002	C036	55.597	0.5636
T0002	C037	61.487	0.5382
T0002	C038	39.869	0.2989
T0002	C039	30.856	0.4848
T0002	C040	54.233	0.2953
T0002	C041	16.521	0.6008
T0002	C042	67.115	0.5118
T0002	C043	30.541	0.3449
T0002	C044	43.933	0.3169
T0002	C045	26.738	0.6952
T0002	C046	57.628	0.2466
T0002	C047	40.673	0.3662
T0002	C048	26.412	0.7289
T0002	C049	39.472	0.5166
T0002	C050	34.058	0.5411
T0002	C051	46.873	0.7112
T0002	C052	31.168	0.4671
T0002	C053	56.537	0.4214
T0002	C054	36.570	0.5503
T0002	C055	38.026	0.3450
T0002	C056	38.635	0.2982
T0002	C057	39.554	0.7768
T0002	C058	64.810	0.4142
T0002	C059	39.888	0.5987
