task_id_list	courier_id	total_score	willingness
T0000	C000	4.493	0.1059
T0000	C001	44.518	0.2736
T0000	C002	46.204	0.4563
T0000	C003	34.495	0.5650
T0000	C004	76.954	0.7350
T0000	C005	59.960	0.1855
T0000	C006	70.693	0.3403
T0000	C007	68.512	0.5042
T0000	C008	100.675	0.6727
T0000	C009	101.188	0.8676
T0000	C010	107.319	0.2333
T0000	C011	16.813	0.3626
T0000	C012	44.570	0.5620
T0000	C013	49.453	0.7032
T0000	C014	41.040	0.1014
T0000	C015	50.988	0.3201
T0000	C016	90.486	0.4832
T0000	C017	73.756	0.6395
T0000	C018	78.573	0.7818
T0000	C019	70.897	0.1747
T0000	C020	97.229	0.3931
T0000	C021	106.945	0.5546
T0000	C022	22.804	0.7162
T0000	C023	34.138	0.1091
T0000	C024	65.992	0.2206
T0000	C025	59.440	0.4454
T0000	C026	61.400	0.6059
T0000	C027	54.419	0.8052
T0000	C028	84.521	0.1666
T0000	C029	87.623	0.3377
T0000	C030	74.353	0.4905
T0000	C031	68.353	0.6792
T0000	C032	119.232	0.8045
T0000	C033	31.514	0.2366
T0000	C034	41.910	0.4310
T0000	C035	77.892	0.5821
T0000	C036	55.973	0.7005
T0000	C037	50.888	0.0920
T0000	C038	74.824	0.3295
T0000	C039	97.850	0.4529
T0000	C040	94.651	0.6623
T0000	C041	100.928	0.8242
T0000	C042	95.097	0.1686
T0000	C043	120.000	0.4079
T0001	C000	49.040	0.2351
T0001	C001	30.592	0.4189
T0001	C002	25.238	0.5832
T0001	C003	47.371	0.6946
T0001	C004	51.910	0.0735
T0001	C005	47.807	0.3167
T0001	C006	32.344	0.4368
T0001	C007	79.769	0.6251
T0001	C008	79.676	0.8272
T0001	C009	69.861	0.1401
T0001	C010	77.266	0.3565
T0001	C011	45.180	0.5025
T0001	C012	36.217	0.6806
T0001	C013	19.988	0.0975
T0001	C014	19.169	0.2252
T0001	C015	49.142	0.4507
T0001	C016	53.630	0.5772
T0001	C017	52.447	0.7469
T0001	C018	88.089	0.1742
T0001	C019	82.621	0.2993
T0001	C020	78.931	0.5223
T0001	C021	86.670	0.6942
T0001	C022	47.227	0.8248
T0001	C023	41.751	0.2547
T0001	C024	36.642	0.3630
T0001	C025	35.021	0.5891
T0001	C026	67.509	0.7565
T0001	C027	69.992	0.1542
T0001	C028	34.791	0.3278
T0001	C029	73.836	0.4966
T0001	C030	88.733	0.6477
T0001	C031	95.275	0.7892
T0001	C032	96.861	0.2124
T0001	C033	23.432	0.3786
T0001	C034	56.966	0.5442
T0001	C035	29.410	0.7032
T0001	C036	36.970	0.1053
T0001	C037	26.968	0.2940
T0001	C038	52.952	0.4215
T0001	C039	69.307	0.6289
T0001	C040	63.798	0.7634
T0001	C041	61.566	0.1644
T0001	C042	87.060	0.3294
T0001	C043	106.878	0.5378
T0002	C000	44.886	0.3759
T0002	C001	58.157	0.5094
T0002	C002	31.327	0.6699
T0002	C003	28.095	0.8411
T0002	C004	30.588	0.2735
T0002	C005	51.847	0.4116
T0002	C006	49.160	0.5405
T0002	C007	53.653	0.7374
T0002	C008	40.910	0.1389
T0002	C009	80.189	0.3272
T0002	C010	87.593	0.4577
T0002	C011	64.236	0.6221
T0002	C012	36.530	0.8062
T0002	C013	44.337	0.2063
T0002	C014	28.696	0.3490
T0002	C015	27.615	0.5275
T0002	C016	20.479	0.7230
T0002	C017	48.581	0.0854
T0002	C018	47.533	0.2525
T0002	C019	49.130	0.4400
T0002	C020	71.415	0.6019
T0002	C021	85.365	0.7706
T0002	C022	48.028	0.1717
T0002	C023	29.438	0.3290
T0002	C024	27.905	0.5271
T0002	C025	35.913	0.6749
T0002	C026	29.822	0.0510
T0002	C027	32.885	0.2545
T0002	C028	42.807	0.4572
T0002	C029	79.437	0.5684
T0002	C030	55.366	0.7612
T0002	C031	67.014	0.1874
T0002	C032	98.176	0.3567
T0002	C033	61.624	0.5222
T0002	C034	46.619	0.6801
T0002	C035	33.431	0.8697
T0002	C036	51.338	0.2496
T0002	C037	44.162	0.3819
T0002	C038	24.182	0.5855
T0002	C039	58.120	0.7050
T0002	C040	62.233	0.0971
T0002	C041	66.391	0.2903
T0002	C042	81.692	0.4711
T0002	C043	81.295	0.6154
T0003	C000	68.595	0.4655
T0003	C001	81.609	0.6234
T0003	C002	49.461	0.8271
T0003	C003	29.761	0.2045
T0003	C004	54.906	0.3973
T0003	C005	26.524	0.5674
T0003	C006	14.542	0.7009
T0003	C007	26.053	0.0960
T0003	C008	58.651	0.3008
T0003	C009	48.715	0.4759
T0003	C010	56.972	0.6119
T0003	C011	51.223	0.8019
T0003	C012	63.741	0.1868
T0003	C013	39.447	0.3128
T0003	C014	51.061	0.4733
T0003	C015	64.636	0.6591
T0003	C016	32.555	0.8861
T0003	C017	38.508	0.2697
T0003	C018	24.772	0.3914
T0003	C019	69.248	0.5538
T0003	C020	62.163	0.7551
T0003	C021	58.076	0.1350
T0003	C022	51.304	0.3339
T0003	C023	68.474	0.4558
T0003	C024	57.566	0.6260
T0003	C025	44.192	0.8372
T0003	C026	24.288	0.1884
T0003	C027	36.158	0.3622
T0003	C028	49.634	0.5733
T0003	C029	36.662	0.7582
T0003	C030	35.596	0.1471
T0003	C031	81.592	0.2858
T0003	C032	65.396	0.4500
T0003	C033	60.095	0.6382
T0003	C034	28.688	0.7746
T0003	C035	66.106	0.2112
T0003	C036	50.258	0.3330
T0003	C037	18.814	0.5359
T0003	C038	22.536	0.6599
T0003	C039	41.754	0.0925
T0003	C040	38.186	0.2693
T0003	C041	42.903	0.4240
T0003	C042	52.542	0.5880
T0003	C043	74.686	0.7365
T0004	C000	81.552	0.5893
T0004	C001	67.237	0.7530
T0004	C002	81.916	0.1640
T0004	C003	49.880	0.3607
T0004	C004	54.350	0.5073
T0004	C005	45.897	0.6716
T0004	C006	50.806	0.8250
T0004	C007	32.160	0.2516
T0004	C008	24.687	0.3920
T0004	C009	21.688	0.5371
T0004	C010	54.555	0.7445
T0004	C011	81.876	0.0919
T0004	C012	65.769	0.3193
T0004	C013	60.242	0.4731
T0004	C014	61.669	0.6362
T0004	C015	40.505	0.7865
T0004	C016	31.054	0.1722
T0004	C017	8.245	0.3337
T0004	C018	21.712	0.5425
T0004	C019	38.882	0.7158
T0004	C020	42.958	0.0958
T0004	C021	30.136	0.2790
T0004	C022	86.960	0.4439
T0004	C023	72.360	0.6299
T0004	C024	65.115	0.8080
T0004	C025	41.155	0.1875
T0004	C026	50.878	0.3489
T0004	C027	58.365	0.5047
T0004	C028	12.872	0.6557
T0004	C029	30.447	0.8497
T0004	C030	32.991	0.2273
T0004	C031	50.061	0.4045
T0004	C032	44.678	0.5586
T0004	C033	92.148	0.7154
T0004	C034	83.974	0.1022
T0004	C035	42.853	0.3434
T0004	C036	38.285	0.5043
T0004	C037	70.431	0.6391
T0004	C038	21.875	0.8339
T0004	C039	31.923	0.1960
T0004	C040	29.931	0.3540
T0004	C041	40.577	0.5199
T0004	C042	60.520	0.7335
T0004	C043	47.317	0.1366
T0005	C000	67.965	0.7158
T0005	C001	110.021	0.1530
T0005	C002	90.452	0.2997
T0005	C003	67.245	0.4372
T0005	C004	41.164	0.6287
T0005	C005	68.479	0.7720
T0005	C006	48.071	0.2110
T0005	C007	31.060	0.3983
T0005	C008	8.801	0.5236
T0005	C009	36.321	0.7217
T0005	C010	44.657	0.1117
T0005	C011	77.669	0.2848
T0005	C012	105.255	0.3908
T0005	C013	80.941	0.5718
T0005	C014	89.031	0.8029
T0005	C015	81.634	0.1240
T0005	C016	79.471	0.3652
T0005	C017	51.002	0.5014
T0005	C018	35.176	0.6631
T0005	C019	26.199	0.8194
T0005	C020	56.598	0.2106
T0005	C021	44.285	0.4090
T0005	C022	69.450	0.5667
T0005	C023	66.488	0.7537
T0005	C024	93.326	0.1667
T0005	C025	85.879	0.2917
T0005	C026	57.314	0.4517
T0005	C027	51.216	0.6076
T0005	C028	59.955	0.7889
T0005	C029	42.360	0.1687
T0005	C030	38.274	0.3503
T0005	C031	30.716	0.5434
T0005	C032	54.644	0.7470
T0005	C033	96.485	0.0886
T0005	C034	84.446	0.3038
T0005	C035	49.928	0.4081
T0005	C036	79.806	0.5869
T0005	C037	49.549	0.8100
T0005	C038	43.227	0.1971
T0005	C039	29.989	0.3755
T0005	C040	52.879	0.5269
T0005	C041	29.670	0.6808
T0005	C042	42.624	0.8289
T0005	C043	52.879	0.2586
T0006	C000	110.197	0.0948
T0006	C001	84.850	0.2883
T0006	C002	90.666	0.4552
T0006	C003	91.538	0.6005
T0006	C004	102.324	0.7299
T0006	C005	79.833	0.1815
T0006	C006	50.471	0.3551
T0006	C007	60.989	0.5031
T0006	C008	41.413	0.6310
T0006	C009	40.318	0.8694
T0006	C010	29.608	0.2077
T0006	C011	119.621	0.3972
T0006	C012	107.457	0.5708
T0006	C013	85.176	0.7191
T0006	C014	90.798	0.0931
T0006	C015	82.259	0.3132
T0006	C016	59.703	0.4628
T0006	C017	65.759	0.6275
T0006	C018	32.203	0.7608
T0006	C019	58.046	0.2122
T0006	C020	28.273	0.3680
T0006	C021	33.717	0.5487
T0006	C022	95.527	0.6745
T0006	C023	104.106	0.1216
T0006	C024	106.294	0.2479
T0006	C025	77.411	0.4295
T0006	C026	90.165	0.6223
T0006	C027	59.599	0.7328
T0006	C028	63.992	0.1859
T0006	C029	39.137	0.3328
T0006	C030	62.795	0.5070
T0006	C031	50.554	0.6877
T0006	C032	21.982	0.8345
T0006	C033	93.846	0.2406
T0006	C034	99.719	0.3601
T0006	C035	94.065	0.5566
T0006	C036	69.063	0.7786
T0006	C037	44.382	0.1418
T0006	C038	77.209	0.3210
T0006	C039	56.448	0.4562
T0006	C040	42.270	0.6489
T0006	C041	16.670	0.8093
T0006	C042	44.330	0.2230
T0006	C043	23.814	0.3845
T0007	C000	41.109	0.2127
T0007	C001	11.855	0.4091
T0007	C002	21.843	0.5679
T0007	C003	38.815	0.7585
T0007	C004	36.032	0.0819
T0007	C005	34.669	0.2848
T0007	C006	53.695	0.4687
T0007	C007	67.132	0.6548
T0007	C008	63.677	0.7528
T0007	C009	100.575	0.1661
T0007	C010	104.464	0.3108
T0007	C011	21.630	0.5244
T0007	C012	37.374	0.7095
T0007	C013	56.804	0.0604
T0007	C014	46.712	0.2372
T0007	C015	45.091	0.4217
T0007	C016	35.208	0.5888
T0007	C017	81.258	0.7356
T0007	C018	80.432	0.1159
T0007	C019	73.934	0.3346
T0007	C020	73.360	0.4616
T0007	C021	99.361	0.6839
T0007	C022	41.538	0.8036
T0007	C023	24.820	0.1969
T0007	C024	26.522	0.4249
T0007	C025	58.297	0.5845
T0007	C026	52.396	0.7189
T0007	C027	52.511	0.1545
T0007	C028	58.483	0.2995
T0007	C029	97.010	0.4734
T0007	C030	71.508	0.6389
T0007	C031	79.796	0.7704
T0007	C032	63.396	0.1608
T0007	C033	49.808	0.3484
T0007	C034	45.958	0.5405
T0007	C035	34.018	0.7105
T0007	C036	22.723	0.1257
T0007	C037	59.077	0.2408
T0007	C038	69.679	0.4201
T0007	C039	64.729	0.6078
T0007	C040	97.493	0.8003
T0007	C041	88.443	0.1762
T0007	C042	89.622	0.3404
T0007	C043	87.293	0.4781
T0008	C000	85.316	0.3699
T0008	C001	54.055	0.5413
T0008	C002	35.687	0.7159
T0008	C003	26.884	0.8104
T0008	C004	39.492	0.2388
T0008	C005	51.102	0.4373
T0008	C006	35.728	0.6058
T0008	C007	40.334	0.7501
T0008	C008	63.902	0.1740
T0008	C009	64.631	0.2915
T0008	C010	78.017	0.4880
T0008	C011	38.706	0.6469
T0008	C012	59.992	0.8573
T0008	C013	44.557	0.1935
T0008	C014	19.694	0.3634
T0008	C015	14.561	0.5890
T0008	C016	49.926	0.7441
T0008	C017	58.933	0.0976
T0008	C018	57.804	0.2708
T0008	C019	37.053	0.4494
T0008	C020	75.316	0.6399
T0008	C021	90.442	0.8192
T0008	C022	57.373	0.1503
T0008	C023	52.014	0.3753
T0008	C024	49.752	0.5169
T0008	C025	26.228	0.7203
T0008	C026	28.964	0.0920
T0008	C027	52.805	0.2684
T0008	C028	62.422	0.4516
T0008	C029	60.364	0.5808
T0008	C030	63.903	0.7789
T0008	C031	72.154	0.1890
T0008	C032	93.776	0.2928
T0008	C033	57.475	0.4602
T0008	C034	22.458	0.6624
T0008	C035	34.261	0.8052
T0008	C036	31.167	0.2347
T0008	C037	36.054	0.4037
T0008	C038	13.544	0.5239
T0008	C039	65.469	0.7251
T0008	C040	55.328	0.1005
T0008	C041	65.301	0.2523
T0008	C042	65.821	0.4924
T0008	C043	106.999	0.5902
T0009	C000	69.719	0.4585
T0009	C001	54.647	0.6225
T0009	C002	54.666	0.8055
T0009	C003	45.987	0.2015
T0009	C004	32.122	0.3983
T0009	C005	13.477	0.5582
T0009	C006	26.245	0.7299
T0009	C007	48.205	0.1337
T0009	C008	42.955	0.2505
T0009	C009	39.724	0.4471
T0009	C010	76.306	0.6392
T0009	C011	75.596	0.7887
T0009	C012	66.914	0.1842
T0009	C013	44.246	0.3064
T0009	C014	62.176	0.4985
T0009	C015	30.260	0.6667
T0009	C016	33.642	0.8136
T0009	C017	20.005	0.2365
T0009	C018	46.941	0.3851
T0009	C019	60.901	0.5712
T0009	C020	69.740	0.7765
T0009	C021	57.161	0.1706
T0009	C022	68.427	0.2874
T0009	C023	69.780	0.4917
T0009	C024	46.827	0.6150
T0009	C025	17.430	0.8438
T0009	C026	45.674	0.2490
T0009	C027	52.247	0.3615
T0009	C028	42.201	0.5281
T0009	C029	45.825	0.6818
T0009	C030	75.586	0.1385
T0009	C031	48.525	0.2987
