task_id_list	courier_id	total_score	willingness
T0000	C000	19.372	0.1017
T0000	C001	51.367	0.2664
T0000	C002	42.795	0.4440
T0000	C003	34.666	0.5926
T0000	C004	81.251	0.7238
T0000	C005	77.160	0.1846
T0000	C006	79.115	0.3048
T0000	C007	69.300	0.5114
T0000	C008	103.474	0.6351
T0000	C009	106.227	0.8178
T0000	C010	86.377	0.1969
T0000	C011	5.975	0.4265
T0000	C012	34.841	0.5854
T0000	C013	44.529	0.7028
T0000	C014	47.329	0.0805
T0000	C015	45.851	0.2816
T0000	C016	81.061	0.4354
T0000	C017	68.694	0.6573
T0000	C018	83.344	0.7959
T0000	C019	74.644	0.2010
T0000	C020	111.463	0.3643
T0000	C021	105.043	0.5675
T0000	C022	17.436	0.7220
T0000	C023	18.610	0.0906
T0000	C024	54.391	0.2623
T0000	C025	66.775	0.4175
T0000	C026	60.425	0.5987
T0000	C027	49.152	0.7909
T0000	C028	92.127	0.1721
T0000	C029	69.450	0.3102
T0001	C000	56.187	0.2272
T0001	C001	16.392	0.4014
T0001	C002	9.343	0.5566
T0001	C003	48.225	0.6918
T0001	C004	41.267	0.0832
T0001	C005	33.567	0.3003
T0001	C006	46.055	0.4141
T0001	C007	73.630	0.6276
T0001	C008	78.247	0.7997
T0001	C009	83.061	0.1921
T0001	C010	75.599	0.3367
T0001	C011	39.112	0.4810
T0001	C012	38.049	0.6920
T0001	C013	28.719	0.0976
T0001	C014	26.679	0.2849
T0001	C015	62.732	0.4120
T0001	C016	51.876	0.6028
T0001	C017	42.990	0.7581
T0001	C018	72.247	0.1229
T0001	C019	80.086	0.3439
T0001	C020	84.674	0.4658
T0001	C021	80.540	0.6399
T0001	C022	56.484	0.8413
T0001	C023	39.914	0.1898
T0001	C024	49.562	0.3822
T0001	C025	39.172	0.5632
T0001	C026	54.435	0.7263
T0001	C027	62.248	0.0955
T0001	C028	55.103	0.2616
T0001	C029	56.897	0.4367
T0002	C000	31.481	0.3478
T0002	C001	72.487	0.5485
T0002	C002	42.434	0.6969
T0002	C003	35.728	0.8252
T0002	C004	31.241	0.2217
T0002	C005	53.563	0.3917
T0002	C006	46.732	0.6194
T0002	C007	70.126	0.7547
T0002	C008	51.926	0.1064
T0002	C009	83.292	0.2938
T0002	C010	74.556	0.5083
T0002	C011	41.827	0.6757
T0002	C012	28.023	0.8155
T0002	C013	60.411	0.2283
T0002	C014	44.255	0.3418
T0002	C015	49.991	0.5594
T0002	C016	20.675	0.6915
T0002	C017	71.173	0.1413
T0002	C018	72.099	0.2963
T0002	C019	58.704	0.4506
T0002	C020	61.407	0.6157
T0002	C021	95.184	0.7670
T0002	C022	62.120	0.1840
T0002	C023	51.616	0.3317
T0002	C024	15.212	0.4909
T0002	C025	30.790	0.6968
T0002	C026	33.211	0.0641
T0002	C027	33.977	0.2791
T0002	C028	30.322	0.4115
T0002	C029	62.992	0.5867
T0003	C000	75.242	0.4370
T0003	C001	48.638	0.6037
T0003	C002	47.100	0.7823
T0003	C003	33.797	0.1685
T0003	C004	58.360	0.3376
T0003	C005	39.378	0.5453
T0003	C006	32.223	0.7307
T0003	C007	26.371	0.1067
T0003	C008	67.087	0.2889
T0003	C009	74.223	0.4304
T0003	C010	59.307	0.6367
