task_id_list	courier_id	total_score	willingness
T0000	C000	52.230	0.4082
T0000	C001	44.014	0.4914
T0000	C002	44.942	0.3397
T0000	C003	51.339	0.5657
T0000	C004	54.488	0.4216
T0000	C005	61.114	0.4532
T0000	C006	62.137	0.6071
T0000	C007	55.625	0.4115
T0000	C008	47.830	0.5879
T0000	C009	54.288	0.4398
T0000	C010	71.379	0.4096
T0000	C011	47.215	0.5555
T0001	C000	55.528	0.2027
T0001	C001	61.551	0.6622
T0001	C002	67.503	0.5178
T0001	C003	72.318	0.5526
T0001	C004	80.521	0.2950
T0001	C005	89.467	0.3599
T0001	C006	76.781	0.3179
T0001	C007	76.541	0.6626
T0001	C008	51.604	0.4802
T0001	C009	90.231	0.2248
T0001	C010	63.713	0.3208
T0001	C011	66.562	0.4917
T0002	C000	56.435	0.3382
T0002	C001	34.677	0.3794
T0002	C002	46.704	0.5215
T0002	C003	46.002	0.3061
T0002	C004	39.566	0.5423
T0002	C005	62.432	0.5238
T0002	C006	53.304	0.4429
T0002	C007	30.753	0.6299
T0002	C008	34.797	0.7623
T0002	C009	45.373	0.5104
T0002	C010	32.764	0.5037
T0002	C011	42.497	0.6509
T0003	C000	54.818	0.3039
T0003	C001	34.705	0.6113
T0003	C002	50.764	0.5338
T0003	C003	43.036	0.6671
T0003	C004	42.438	0.5494
T0003	C005	57.745	0.5218
T0003	C006	55.806	0.7395
T0003	C007	47.716	0.5286
T0003	C008	37.566	0.7213
T0003	C009	51.269	0.5222
T0003	C010	60.670	0.4161
T0003	C011	31.177	0.6160
T0004	C000	54.972	0.2462
T0004	C001	66.739	0.5544
T0004	C002	55.585	0.5252
T0004	C003	81.963	0.2560
T0004	C004	81.378	0.3521
T0004	C005	90.267	0.4266
T0004	C006	73.272	0.3850
T0004	C007	80.983	0.6149
T0004	C008	51.831	0.5784
T0004	C009	91.119	0.6447
T0004	C010	66.263	0.5643
T0004	C011	63.228	0.4862
T0005	C000	84.594	0.2499
T0005	C001	67.677	0.4105
T0005	C002	78.153	0.3353
T0005	C003	61.102	0.4943
T0005	C004	59.041	0.4398
T0005	C005	63.852	0.6741
T0005	C006	82.090	0.6600
T0005	C007	60.930	0.5728
T0005	C008	77.350	0.3489
T0005	C009	56.955	0.3650
T0005	C010	75.915	0.5403
T0005	C011	70.822	0.4452
T0000,T0001	C000	62.485	0.2491
T0000,T0001	C001	78.267	0.5065
T0000,T0001	C002	64.523	0.4271
T0000,T0001	C003	84.576	0.6875
T0000,T0001	C004	78.704	0.4042
T0000,T0001	C005	75.796	0.2916
T0000,T0001	C006	77.012	0.5212
T0000,T0001	C007	81.317	0.4178
T0000,T0001	C008	62.325	0.3969
T0000,T0001	C009	70.492	0.4898
T0000,T0001	C010	62.055	0.4368
T0000,T0001	C011	73.424	0.6628
T0000,T0002	C000	62.535	0.4158
T0000,T0002	C001	50.495	0.4135
T0000,T0002	C002	58.795	0.6423
T0000,T0002	C003	62.334	0.5481
T0000,T0002	C004	71.349	0.3777
T0000,T0002	C005	69.899	0.4496
T0000,T0002	C006	64.112	0.7399
T0000,T0002	C007	62.719	0.3444
T0000,T0002	C008	53.794	0.5797
T0000,T0002	C009	65.049	0.2577
T0000,T0002	C010	46.884	0.2790
T0000,T0002	C011	56.475	0.5031
T0000,T0003	C000	64.481	0.2171
T0000,T0003	C001	51.616	0.2604
T0000,T0003	C002	64.153	0.4832
T0000,T0003	C003	65.613	0.5791
T0000,T0003	C004	58.118	0.5942
T0000,T0003	C005	64.172	0.3377
T0000,T0003	C006	63.382	0.4087
T0000,T0003	C007	51.411	0.5784
T0000,T0003	C008	57.497	0.4653
T0000,T0003	C009	59.253	0.4818
T0000,T0003	C010	74.578	0.4551
T0000,T0003	C011	54.328	0.4422
T0000,T0004	C000	63.050	0.1839
T0000,T0004	C001	67.812	0.4784
T0000,T0004	C002	74.877	0.5332
T0000,T0004	C003	79.644	0.3451
T0000,T0004	C004	75.980	0.2446
T0000,T0004	C005	79.823	0.4392
T0000,T0004	C006	69.138	0.7076
T0000,T0004	C007	78.027	0.2574
T0000,T0004	C008	66.224	0.4366
T0000,T0004	C009	72.677	0.4599
T0000,T0004	C010	75.649	0.2171
T0000,T0004	C011	62.675	0.6014
T0000,T0005	C000	81.022	0.4908
T0000,T0005	C001	76.574	0.2161
T0000,T0005	C002	78.283	0.1985
T0000,T0005	C003	78.233	0.4761
