task_id_list	courier_id	total_score	willingness
T0000	C000	98.552	0.4216
T0000	C001	57.186	0.4982
T0000	C002	62.002	0.2639
T0000	C003	5.758	0.4228
T0000	C004	46.188	0.3041
T0000	C005	92.816	0.3430
T0000	C006	95.614	0.3959
T0000	C007	51.609	0.3732
T0000	C008	45.214	0.4562
T0000	C009	51.918	0.4277
T0000	C010	61.475	0.3390
T0000	C011	98.158	0.3364
T0000	C012	30.828	0.4344
T0000	C013	55.459	0.6524
T0000	C014	90.995	0.3635
T0000	C015	38.170	0.4276
T0000	C016	60.835	0.5219
T0000	C017	44.251	0.5995
T0000	C018	69.108	0.4665
T0000	C019	67.511	0.5329
T0000	C020	49.906	0.3134
T0000	C021	59.283	0.4762
T0000	C022	28.089	0.4033
T0000	C023	16.351	0.4198
T0000	C024	62.296	0.4967
T0000	C025	64.641	0.6094
T0000	C026	3.000	0.3756
T0000	C027	62.882	0.7735
T0000	C028	73.195	0.3367
T0000	C029	71.960	0.5502
T0000	C030	58.873	0.4596
T0000	C031	66.209	0.3864
T0000	C032	11.904	0.5365
T0000	C033	92.180	0.4182
T0000	C034	69.543	0.2655
T0000	C035	47.180	0.3745
T0000	C036	51.435	0.6356
T0000	C037	80.286	0.3689
T0000	C038	48.188	0.4046
T0000	C039	40.586	0.4219
T0000	C040	62.679	0.7142
T0000	C041	29.291	0.5088
T0000	C042	74.267	0.5628
T0000	C043	120.264	0.4426
T0000	C044	88.637	0.3670
T0000	C045	77.132	0.4834
T0000	C046	64.966	0.3637
T0000	C047	80.943	0.7284
T0000	C048	27.349	0.4483
T0000	C049	70.468	0.5767
T0000	C050	80.196	0.5349
T0000	C051	29.870	0.4545
T0000	C052	31.370	0.4282
T0000	C053	69.207	0.4175
T0000	C054	76.020	0.3771
T0000	C055	84.189	0.5899
T0000	C056	57.699	0.4105
T0000	C057	42.551	0.4131
T0000	C058	52.277	0.6954
T0000	C059	27.163	0.3157
T0000	C060	40.114	0.6374
T0000	C061	79.900	0.3338
T0000	C062	75.577	0.6563
T0000	C063	66.098	0.4668
T0000	C064	42.907	0.5404
T0000	C065	86.290	0.3404
T0000	C066	40.715	0.4697
T0000	C067	67.938	0.5300
T0000	C068	63.338	0.4208
T0000	C069	74.785	0.4428
T0001	C000	36.495	0.7165
T0001	C001	41.034	0.3949
T0001	C002	61.520	0.3381
T0001	C003	57.181	0.6369
T0001	C004	79.491	0.5053
T0001	C005	39.077	0.3229
T0001	C006	65.801	0.2724
T0001	C007	72.853	0.4991
T0001	C008	50.183	0.5699
T0001	C009	50.648	0.2872
T0001	C010	104.631	0.4977
T0001	C011	108.521	0.6128
T0001	C012	76.412	0.2744
T0001	C013	92.914	0.4055
T0001	C014	58.588	0.4517
T0001	C015	97.106	0.3298
T0001	C016	71.195	0.5876
T0001	C017	49.135	0.3933
T0001	C018	53.577	0.4834
T0001	C019	88.282	0.3110
T0001	C020	47.820	0.5910
T0001	C021	77.920	0.6175
T0001	C022	57.446	0.6252
T0001	C023	66.125	0.4482
T0001	C024	76.057	0.5413
T0001	C025	77.062	0.4483
T0001	C026	64.475	0.5258
T0001	C027	97.794	0.4218
T0001	C028	37.672	0.3949
T0001	C029	75.556	0.6316
T0001	C030	107.491	0.4596
T0001	C031	131.661	0.6966
T0001	C032	51.470	0.6889
T0001	C033	73.947	0.7093
T0001	C034	77.083	0.6076
T0001	C035	56.513	0.4300
T0001	C036	90.763	0.5774
T0001	C037	75.882	0.4588
T0001	C038	93.790	0.5563
T0001	C039	55.934	0.6213
T0001	C040	61.605	0.2513
T0001	C041	32.190	0.4548
T0001	C042	73.981	0.6792
T0001	C043	70.674	0.4569
T0001	C044	108.428	0.4627
T0001	C045	52.483	0.4779
T0001	C046	70.476	0.3934
T0001	C047	79.331	0.2813
T0001	C048	51.239	0.5440
T0001	C049	57.061	0.6180
T0001	C050	44.571	0.2623
T0001	C051	59.152	0.5388
T0001	C052	92.487	0.4048
T0001	C053	52.624	0.4832
T0001	C054	80.897	0.3209
T0001	C055	55.994	0.6471
T0001	C056	99.433	0.3977
T0001	C057	39.503	0.3415
T0001	C058	46.440	0.5849
T0001	C059	68.723	0.2932
T0001	C060	77.126	0.2877
T0001	C061	50.000	0.5707
T0001	C062	43.841	0.3450
T0001	C063	61.958	0.4641
T0001	C064	109.727	0.2118
T0001	C065	77.626	0.5389
T0001	C066	54.126	0.7027
T0001	C067	73.661	0.5419
T0001	C068	93.900	0.3708
T0001	C069	57.692	0.4457
T0002	C000	36.268	0.4702
T0002	C001	66.717	0.2134
T0002	C002	84.982	0.7574
T0002	C003	43.342	0.6127
T0002	C004	64.601	0.4882
T0002	C005	54.932	0.6952
T0002	C006	70.966	0.5839
T0002	C007	72.356	0.6462
T0002	C008	63.348	0.4471
T0002	C009	91.216	0.6536
T0002	C010	86.506	0.4907
T0002	C011	60.605	0.6449
T0002	C012	67.122	0.3976
T0002	C013	65.211	0.4958
T0002	C014	75.054	0.4111
T0002	C015	115.478	0.5092
T0002	C016	58.994	0.4208
T0002	C017	43.136	0.5417
T0002	C018	80.872	0.3426
T0002	C019	101.856	0.5035
T0002	C020	69.368	0.2971
T0002	C021	85.832	0.4161
T0002	C022	99.174	0.3647
T0002	C023	63.172	0.4099
T0002	C024	80.440	0.5107
T0002	C025	70.130	0.4516
T0002	C026	75.956	0.5923
T0002	C027	85.727	0.6196
T0002	C028	53.017	0.5409
T0002	C029	77.288	0.4912
T0002	C030	83.196	0.7307
T0002	C031	89.567	0.4400
T0002	C032	83.267	0.3284
T0002	C033	58.594	0.5833
T0002	C034	58.911	0.3922
T0002	C035	59.458	0.3520
T0002	C036	46.936	0.4791
T0002	C037	80.224	0.5549
T0002	C038	111.156	0.5040
T0002	C039	51.195	0.4991
T0002	C040	51.925	0.4736
T0002	C041	33.451	0.6040
T0002	C042	58.956	0.7047
T0002	C043	77.953	0.3360
T0002	C044	89.300	0.5742
T0002	C045	110.559	0.4793
T0002	C046	108.682	0.4697
T0002	C047	89.545	0.6205
T0002	C048	67.593	0.7462
T0002	C049	61.468	0.4411
T0002	C050	84.198	0.5011
T0002	C051	87.271	0.5295
T0002	C052	79.598	0.5646
T0002	C053	93.459	0.3543
T0002	C054	57.343	0.3250
T0002	C055	76.521	0.6213
T0002	C056	53.832	0.4538
T0002	C057	29.451	0.2901
T0002	C058	59.088	0.4855
T0002	C059	82.207	0.3873
T0002	C060	86.801	0.3843
T0002	C061	96.187	0.4279
T0002	C062	94.573	0.4826
T0002	C063	75.728	0.5422
T0002	C064	59.382	0.2430
T0002	C065	86.042	0.3968
T0002	C066	61.850	0.2604
T0002	C067	92.963	0.4914
T0002	C068	106.670	0.2760
T0002	C069	76.595	0.2229
T0003	C000	45.258	0.4454
T0003	C001	29.129	0.3112
T0003	C002	35.010	0.3180
T0003	C003	37.398	0.3929
T0003	C004	45.483	0.3591
T0003	C005	32.193	0.4143
T0003	C006	53.409	0.4695
T0003	C007	55.735	0.6047
T0003	C008	64.151	0.6473
T0003	C009	59.888	0.3257
T0003	C010	68.441	0.3620
T0003	C011	55.998	0.2787
T0003	C012	38.530	0.2394
T0003	C013	67.154	0.5604
T0003	C014	60.581	0.3263
T0003	C015	48.605	0.2741
T0003	C016	34.515	0.7250
T0003	C017	105.380	0.4687
T0003	C018	64.321	0.4885
T0003	C019	92.466	0.5556
T0003	C020	30.763	0.5901
T0003	C021	72.916	0.4780
T0003	C022	38.551	0.3501
T0003	C023	53.915	0.2329
T0003	C024	42.210	0.3143
T0003	C025	59.663	0.5398
T0003	C026	50.846	0.6953
T0003	C027	69.520	0.6785
T0003	C028	61.628	0.4534
T0003	C029	73.324	0.6127
T0003	C030	55.202	0.5754
T0003	C031	34.110	0.5256
T0003	C032	93.088	0.6141
T0003	C033	33.725	0.5540
T0003	C034	37.478	0.3570
T0003	C035	102.580	0.4444
T0003	C036	17.085	0.3439
T0003	C037	73.098	0.4750
T0003	C038	63.343	0.7135
T0003	C039	56.537	0.4037
T0003	C040	50.667	0.5584
T0003	C041	54.769	0.4479
T0003	C042	52.950	0.6006
T0003	C043	40.705	0.3201
T0003	C044	58.930	0.6028
T0003	C045	62.341	0.4166
T0003	C046	45.089	0.4737
T0003	C047	17.300	0.6170
T0003	C048	51.981	0.4494
T0003	C049	48.934	0.3042
T0003	C050	52.935	0.5236
T0003	C051	25.308	0.3594
T0003	C052	11.467	0.3220
T0003	C053	83.144	0.2840
T0003	C054	78.316	0.3487
T0003	C055	61.553	0.4775
T0003	C056	63.975	0.3072
T0003	C057	45.989	0.4301
T0003	C058	56.437	0.2213
T0003	C059	55.144	0.4578
T0003	C060	13.354	0.3565
T0003	C061	62.395	0.4742
T0003	C062	4.905	0.2758
T0003	C063	86.015	0.4298
T0003	C064	66.231	0.3486
T0003	C065	51.988	0.3659
T0003	C066	47.984	0.6256
T0003	C067	54.542	0.7197
T0003	C068	50.648	0.2260
T0003	C069	44.257	0.3287
T0004	C000	29.574	0.4630
T0004	C001	55.566	0.5354
T0004	C002	78.574	0.4212
T0004	C003	23.490	0.5825
T0004	C004	30.137	0.4967
T0004	C005	50.266	0.3418
T0004	C006	73.277	0.6977
T0004	C007	36.652	0.3324
T0004	C008	46.377	0.6060
T0004	C009	62.497	0.4627
T0004	C010	77.590	0.3696
T0004	C011	42.534	0.3993
T0004	C012	93.891	0.4218
T0004	C013	44.097	0.4252
T0004	C014	45.684	0.2414
T0004	C015	68.779	0.5968
T0004	C016	73.746	0.4146
T0004	C017	21.742	0.2104
T0004	C018	86.515	0.3535
T0004	C019	37.327	0.5048
T0004	C020	60.562	0.2015
T0004	C021	55.327	0.5919
T0004	C022	60.933	0.5379
T0004	C023	59.108	0.3261
T0004	C024	16.900	0.3938
T0004	C025	34.587	0.2806
T0004	C026	54.035	0.6727
T0004	C027	35.939	0.4122
T0004	C028	27.702	0.2946
T0004	C029	41.076	0.7110
T0004	C030	31.970	0.5835
T0004	C031	71.117	0.4217
T0004	C032	60.386	0.6228
T0004	C033	47.352	0.8016
T0004	C034	36.210	0.2457
T0004	C035	27.402	0.4073
T0004	C036	77.248	0.6817
T0004	C037	34.310	0.4483
T0004	C038	46.967	0.4200
T0004	C039	10.726	0.4670
T0004	C040	45.025	0.6570
T0004	C041	34.146	0.3548
T0004	C042	64.003	0.5665
T0004	C043	42.923	0.5461
T0004	C044	78.539	0.4922
T0004	C045	81.817	0.3026
T0004	C046	38.200	0.6028
T0004	C047	66.495	0.5132
T0004	C048	25.000	0.3488
T0004	C049	51.835	0.3398
T0004	C050	30.394	0.5244
T0004	C051	52.457	0.5765
T0004	C052	59.404	0.4703
T0004	C053	74.893	0.2651
T0004	C054	37.067	0.4432
T0004	C055	96.479	0.4835
T0004	C056	32.465	0.5509
T0004	C057	34.782	0.3716
T0004	C058	42.861	0.6192
T0004	C059	57.738	0.5495
T0004	C060	65.868	0.6835
T0004	C061	26.927	0.3967
T0004	C062	44.417	0.4690
T0004	C063	78.161	0.5144
T0004	C064	39.170	0.6204
T0004	C065	34.969	0.4432
T0004	C066	4.739	0.6616
T0004	C067	54.028	0.4513
T0004	C068	48.154	0.2589
T0004	C069	77.185	0.6236
T0005	C000	3.000	0.2663
T0005	C001	7.677	0.4574
T0005	C002	49.184	0.3082
T0005	C003	32.165	0.6167
T0005	C004	20.591	0.2428
T0005	C005	3.000	0.4834
T0005	C006	27.066	0.3799
T0005	C007	40.752	0.6200
T0005	C008	37.070	0.4649
T0005	C009	73.742	0.5664
T0005	C010	22.365	0.4311
T0005	C011	19.108	0.5120
T0005	C012	56.618	0.2583
T0005	C013	48.136	0.3618
T0005	C014	11.610	0.3600
T0005	C015	9.229	0.4422
T0005	C016	28.193	0.6402
T0005	C017	50.591	0.3333
T0005	C018	29.100	0.4540
T0005	C019	59.475	0.5128
T0005	C020	3.770	0.2573
T0005	C021	49.010	0.3628
T0005	C022	34.298	0.4982
T0005	C023	3.000	0.4995
T0005	C024	40.649	0.6480
T0005	C025	18.766	0.4940
T0005	C026	5.886	0.5047
T0005	C027	43.251	0.5171
T0005	C028	78.873	0.3786
T0005	C029	3.000	0.3942
T0005	C030	41.809	0.3924
T0005	C031	43.469	0.5979
T0005	C032	14.188	0.5797
T0005	C033	3.000	0.3500
T0005	C034	48.562	0.3407
T0005	C035	32.461	0.4313
T0005	C036	27.888	0.5993
T0005	C037	35.904	0.7609
T0005	C038	53.434	0.1895
T0005	C039	23.157	0.6791
T0005	C040	15.453	0.4449
T0005	C041	3.000	0.5909
T0005	C042	40.963	0.4031
T0005	C043	44.125	0.4234
T0005	C044	19.438	0.6604
T0005	C045	41.179	0.5986
T0005	C046	54.742	0.3702
T0005	C047	50.282	0.6774
T0005	C048	16.902	0.2223
T0005	C049	42.977	0.4566
T0005	C050	23.634	0.3449
T0005	C051	63.989	0.4107
T0005	C052	4.664	0.4917
T0005	C053	59.725	0.3457
T0005	C054	35.261	0.3289
T0005	C055	62.296	0.4487
T0005	C056	45.214	0.2996
T0005	C057	31.897	0.6599
T0005	C058	52.914	0.7383
T0005	C059	16.364	0.2353
T0005	C060	30.193	0.3316
T0005	C061	30.868	0.6526
T0005	C062	26.949	0.5455
T0005	C063	42.821	0.3451
T0005	C064	17.667	0.5024
T0005	C065	9.353	0.6735
T0005	C066	9.018	0.5477
T0005	C067	34.372	0.5378
T0005	C068	36.911	0.5830
T0005	C069	30.566	0.3659
T0006	C000	64.500	0.7283
T0006	C001	38.688	0.4560
T0006	C002	44.192	0.3150
T0006	C003	32.982	0.5715
T0006	C004	35.960	0.4349
T0006	C005	25.996	0.3839
T0006	C006	47.600	0.2832
T0006	C007	39.832	0.6658
T0006	C008	37.711	0.3563
T0006	C009	44.436	0.6350
T0006	C010	48.779	0.5218
T0006	C011	92.447	0.2879
T0006	C012	92.536	0.5107
T0006	C013	3.000	0.3210
T0006	C014	73.171	0.3866
T0006	C015	46.422	0.3601
T0006	C016	37.647	0.6458
T0006	C017	49.750	0.3108
T0006	C018	34.593	0.6106
T0006	C019	35.588	0.5823
T0006	C020	33.695	0.2451
T0006	C021	46.990	0.3303
T0006	C022	58.891	0.3461
T0006	C023	29.092	0.2841
T0006	C024	47.454	0.6546
T0006	C025	48.967	0.5357
T0006	C026	37.555	0.7328
T0006	C027	23.376	0.7432
T0006	C028	91.101	0.5079
T0006	C029	57.886	0.4921
T0006	C030	52.153	0.4416
T0006	C031	60.564	0.3371
T0006	C032	81.422	0.6224
T0006	C033	41.527	0.6599
T0006	C034	73.026	0.3807
T0006	C035	39.034	0.5629
T0006	C036	50.369	0.5068
T0006	C037	53.711	0.3047
T0006	C038	62.615	0.5775
T0006	C039	46.493	0.5914
T0006	C040	13.669	0.6263
T0006	C041	56.313	0.5840
T0006	C042	67.079	0.4067
T0006	C043	3.000	0.3709
T0006	C044	81.564	0.5065
T0006	C045	55.341	0.3817
T0006	C046	44.186	0.4086
T0006	C047	42.538	0.4141
T0006	C048	41.690	0.4561
T0006	C049	47.305	0.4069
T0006	C050	49.388	0.5224
T0006	C051	46.260	0.4323
T0006	C052	40.552	0.5124
T0006	C053	109.803	0.6756
T0006	C054	57.592	0.5938
T0006	C055	45.198	0.3369
T0006	C056	53.542	0.3346
T0006	C057	28.350	0.2003
T0006	C058	52.673	0.5911
T0006	C059	99.939	0.2549
T0006	C060	59.456	0.3848
T0006	C061	15.929	0.2873
T0006	C062	22.209	0.6843
T0006	C063	106.842	0.4375
T0006	C064	20.512	0.6178
T0006	C065	21.201	0.3855
T0006	C066	47.854	0.4418
T0006	C067	85.487	0.4845
T0006	C068	48.107	0.4315
T0006	C069	18.023	0.1711
T0007	C000	39.084	0.6429
T0007	C001	60.459	0.5571
T0007	C002	50.911	0.3727
T0007	C003	3.000	0.5347
T0007	C004	23.041	0.3221
T0007	C005	13.438	0.2482
T0007	C006	20.853	0.4859
T0007	C007	23.515	0.5043
T0007	C008	45.357	0.5818
T0007	C009	52.123	0.5327
T0007	C010	55.721	0.4594
T0007	C011	10.826	0.2368
T0007	C012	49.013	0.2953
T0007	C013	32.863	0.5633
T0007	C014	53.140	0.3290
T0007	C015	59.563	0.5518
T0007	C016	9.564	0.3282
T0007	C017	73.064	0.4725
T0007	C018	9.323	0.2889
T0007	C019	28.508	0.4754
T0007	C020	33.061	0.4703
T0007	C021	18.973	0.6298
T0007	C022	50.613	0.5195
T0007	C023	3.000	0.4857
T0007	C024	44.679	0.5645
T0007	C025	31.142	0.4371
T0007	C026	26.665	0.4725
T0007	C027	3.000	0.6965
T0007	C028	49.049	0.5039
T0007	C029	13.927	0.6516
T0007	C030	40.648	0.3593
T0007	C031	34.443	0.5090
T0007	C032	48.495	0.4085
T0007	C033	22.902	0.4051
T0007	C034	78.149	0.3131
T0007	C035	41.667	0.3048
T0007	C036	42.566	0.4029
T0007	C037	15.770	0.2579
T0007	C038	31.995	0.3111
T0007	C039	20.562	0.2953
