task_id_list	courier_id	total_score	willingness
T0000	C000	79.480	0.3366
T0000	C001	69.561	0.2983
T0000	C002	59.881	0.5462
T0000	C003	58.575	0.3227
T0000	C004	67.025	0.2720
T0000	C005	46.743	0.3743
T0000	C006	47.287	0.4666
T0000	C007	56.539	0.3173
T0000	C008	49.000	0.5437
T0000	C009	50.684	0.3741
T0000	C010	47.565	0.2119
T0000	C011	72.920	0.3081
T0000	C012	61.116	0.6943
T0000	C013	48.618	0.3969
T0000	C014	57.508	0.5658
T0000	C015	67.327	0.7577
T0000	C016	77.297	0.5430
T0000	C017	61.010	0.6629
T0000	C018	74.390	0.2923
T0000	C019	81.363	0.2040
T0000	C020	75.454	0.6152
T0000	C021	50.689	0.5594
T0000	C022	47.765	0.2562
T0000	C023	42.880	0.4559
T0000	C024	51.065	0.4799
T0000	C025	69.200	0.5110
T0000	C026	73.672	0.4154
T0000	C027	45.652	0.5924
T0000	C028	58.392	0.5926
T0000	C029	61.088	0.2945
T0000	C030	42.150	0.6278
T0000	C031	77.203	0.5726
T0000	C032	24.944	0.4475
T0000	C033	61.766	0.4212
T0000	C034	55.644	0.3801
T0000	C035	52.251	0.2514
T0000	C036	56.029	0.6132
T0000	C037	60.749	0.3227
T0000	C038	60.194	0.4581
T0000	C039	79.429	0.7645
T0000	C040	66.298	0.4972
T0000	C041	62.863	0.4549
T0000	C042	66.569	0.6527
T0000	C043	80.926	0.4746
T0000	C044	58.783	0.3849
T0000	C045	73.874	0.6944
T0000	C046	72.500	0.5567
T0000	C047	45.373	0.6818
T0000	C048	62.227	0.5576
T0000	C049	57.431	0.2606
T0000	C050	60.071	0.3062
T0000	C051	69.691	0.4846
T0000	C052	58.629	0.3179
T0000	C053	50.595	0.4235
T0000	C054	68.549	0.4623
T0000	C055	53.500	0.5210
T0000	C056	54.925	0.5880
T0000	C057	59.798	0.4137
T0000	C058	55.420	0.6166
T0000	C059	46.770	0.3795
T0000	C060	59.153	0.4372
T0000	C061	51.013	0.4908
T0000	C062	74.005	0.4800
T0000	C063	47.516	0.6580
T0000	C064	91.449	0.3557
T0000	C065	65.167	0.3514
T0000	C066	60.528	0.6429
T0000	C067	60.657	0.7002
T0000	C068	57.727	0.4521
T0000	C069	63.126	0.5957
T0000	C070	55.647	0.4794
T0000	C071	47.881	0.3629
T0000	C072	52.377	0.7066
T0000	C073	50.816	0.3712
T0000	C074	60.063	0.6329
T0000	C075	78.360	0.5403
T0000	C076	48.653	0.5220
T0000	C077	34.284	0.3376
T0000	C078	53.817	0.3531
T0000	C079	57.711	0.3456
T0001	C000	43.841	0.5475
T0001	C001	59.759	0.3155
T0001	C002	66.560	0.4495
T0001	C003	63.358	0.6739
T0001	C004	58.171	0.3127
T0001	C005	52.852	0.2749
T0001	C006	66.569	0.4983
T0001	C007	61.855	0.3180
T0001	C008	67.054	0.2369
T0001	C009	54.309	0.5055
T0001	C010	62.806	0.2330
T0001	C011	55.449	0.4302
T0001	C012	62.177	0.3916
T0001	C013	61.372	0.6972
T0001	C014	68.769	0.2042
T0001	C015	55.521	0.4031
T0001	C016	61.053	0.4699
T0001	C017	56.141	0.5474
T0001	C018	59.434	0.4105
T0001	C019	76.143	0.2800
T0001	C020	72.327	0.4715
T0001	C021	42.585	0.6883
T0001	C022	49.194	0.6417
T0001	C023	47.742	0.6488
T0001	C024	52.154	0.6019
T0001	C025	47.470	0.6330
T0001	C026	52.668	0.4540
T0001	C027	61.985	0.4491
T0001	C028	44.820	0.5031
T0001	C029	53.329	0.2942
T0001	C030	71.005	0.7080
T0001	C031	46.521	0.4077
T0001	C032	48.516	0.4660
T0001	C033	51.074	0.4851
T0001	C034	58.690	0.6867
T0001	C035	61.049	0.3450
T0001	C036	56.445	0.6301
T0001	C037	59.595	0.5340
T0001	C038	49.172	0.5079
T0001	C039	53.095	0.3740
T0001	C040	80.835	0.5995
T0001	C041	89.542	0.2241
T0001	C042	71.729	0.4423
T0001	C043	66.955	0.5155
T0001	C044	40.332	0.6148
T0001	C045	65.868	0.4056
T0001	C046	60.547	0.2825
T0001	C047	42.874	0.6139
T0001	C048	57.508	0.3005
T0001	C049	58.062	0.3029
T0001	C050	46.863	0.3768
T0001	C051	56.910	0.4386
T0001	C052	62.630	0.2656
T0001	C053	73.967	0.5184
T0001	C054	62.477	0.3808
T0001	C055	57.823	0.4238
T0001	C056	71.636	0.7274
T0001	C057	50.161	0.1843
T0001	C058	51.618	0.7264
T0001	C059	57.544	0.4637
T0001	C060	33.628	0.5560
T0001	C061	71.782	0.1693
T0001	C062	60.402	0.5645
T0001	C063	60.672	0.4134
T0001	C064	63.173	0.3574
T0001	C065	52.196	0.2772
T0001	C066	55.182	0.4582
T0001	C067	70.199	0.5928
T0001	C068	59.813	0.6495
T0001	C069	51.483	0.2818
T0001	C070	46.973	0.6360
T0001	C071	60.636	0.4115
T0001	C072	48.383	0.5223
T0001	C073	60.719	0.5633
T0001	C074	34.225	0.3756
T0001	C075	65.620	0.3830
T0001	C076	67.628	0.5351
T0001	C077	51.833	0.4331
T0001	C078	63.820	0.3988
T0001	C079	49.161	0.4099
T0002	C000	55.456	0.3842
T0002	C001	54.568	0.5254
T0002	C002	52.911	0.5350
T0002	C003	45.633	0.3423
T0002	C004	32.004	0.6250
T0002	C005	34.545	0.6238
T0002	C006	52.829	0.6254
T0002	C007	51.338	0.3136
T0002	C008	40.074	0.6664
T0002	C009	38.198	0.5991
T0002	C010	45.764	0.5220
T0002	C011	47.875	0.4833
T0002	C012	50.452	0.6596
T0002	C013	52.696	0.6229
T0002	C014	48.413	0.4746
T0002	C015	59.322	0.6011
T0002	C016	52.473	0.4520
T0002	C017	45.604	0.4713
T0002	C018	59.799	0.4881
T0002	C019	71.081	0.5081
T0002	C020	55.704	0.6317
T0002	C021	51.444	0.5939
T0002	C022	33.194	0.4569
T0002	C023	24.065	0.6159
T0002	C024	52.684	0.6098
T0002	C025	52.411	0.6584
T0002	C026	39.424	0.3343
T0002	C027	31.441	0.5725
T0002	C028	56.837	0.3464
T0002	C029	52.090	0.3703
T0002	C030	48.109	0.5963
T0002	C031	61.182	0.3231
T0002	C032	23.402	0.3661
T0002	C033	59.890	0.2405
T0002	C034	45.579	0.6307
T0002	C035	41.129	0.7192
T0002	C036	40.088	0.5171
T0002	C037	51.476	0.5216
T0002	C038	54.839	0.5077
T0002	C039	54.636	0.5057
T0002	C040	61.692	0.5339
T0002	C041	61.690	0.4121
T0002	C042	53.061	0.5241
T0002	C043	59.056	0.2995
T0002	C044	49.077	0.1703
T0002	C045	45.209	0.4694
T0002	C046	59.738	0.1361
T0002	C047	31.798	0.5497
T0002	C048	66.134	0.5357
T0002	C049	41.086	0.5871
T0002	C050	41.073	0.4482
T0002	C051	53.379	0.2951
T0002	C052	37.090	0.5114
T0002	C053	58.670	0.7406
T0002	C054	60.987	0.7026
T0002	C055	36.246	0.6338
T0002	C056	34.722	0.4145
T0002	C057	53.487	0.3328
T0002	C058	31.938	0.6954
T0002	C059	52.557	0.2034
T0002	C060	38.853	0.6282
T0002	C061	55.872	0.5281
T0002	C062	56.806	0.4114
T0002	C063	54.569	0.3544
T0002	C064	68.573	0.3562
T0002	C065	41.184	0.6498
T0002	C066	42.772	0.4842
T0002	C067	45.985	0.2803
T0002	C068	54.692	0.5567
T0002	C069	33.147	0.5086
T0002	C070	22.312	0.6985
T0002	C071	31.621	0.4577
T0002	C072	46.201	0.4861
T0002	C073	45.584	0.4696
T0002	C074	35.102	0.6006
T0002	C075	45.641	0.6436
T0002	C076	48.434	0.3527
T0002	C077	23.838	0.3750
T0002	C078	66.977	0.5205
T0002	C079	32.644	0.7105
T0003	C000	35.323	0.3558
T0003	C001	26.494	0.4171
T0003	C002	39.095	0.4388
T0003	C003	23.128	0.5524
T0003	C004	25.919	0.6108
T0003	C005	15.310	0.6123
T0003	C006	15.805	0.4274
T0003	C007	22.616	0.6535
T0003	C008	26.696	0.5457
T0003	C009	16.948	0.4711
T0003	C010	22.023	0.5031
T0003	C011	24.441	0.7047
T0003	C012	27.866	0.5045
T0003	C013	22.850	0.6316
T0003	C014	33.959	0.3672
T0003	C015	42.339	0.6495
T0003	C016	41.488	0.5779
T0003	C017	22.342	0.4678
T0003	C018	26.775	0.5790
T0003	C019	40.732	0.5743
T0003	C020	29.696	0.5030
T0003	C021	22.113	0.4969
T0003	C022	27.810	0.8123
T0003	C023	3.000	0.5144
T0003	C024	27.290	0.4543
T0003	C025	26.451	0.5617
T0003	C026	33.174	0.4088
T0003	C027	3.000	0.5797
T0003	C028	31.298	0.4458
T0003	C029	32.365	0.6157
T0003	C030	15.520	0.6637
T0003	C031	36.728	0.6282
T0003	C032	3.000	0.7216
T0003	C033	26.601	0.5340
T0003	C034	5.950	0.6101
T0003	C035	19.587	0.4701
T0003	C036	18.895	0.7734
T0003	C037	12.658	0.5821
T0003	C038	26.972	0.5352
T0003	C039	47.381	0.5968
T0003	C040	19.590	0.5175
T0003	C041	24.519	0.2782
T0003	C042	18.238	0.5025
T0003	C043	40.938	0.5201
T0003	C044	14.318	0.4489
T0003	C045	21.660	0.5530
T0003	C046	32.664	0.4416
