task_id_list	courier_id	total_score	willingness
T0000	C000	74.777	0.4400
T0000	C001	71.679	0.4447
T0000	C002	80.644	0.4978
T0000	C003	77.929	0.4475
T0000	C004	72.715	0.6692
T0000	C005	68.947	0.6024
T0000	C006	76.201	0.5805
T0000	C007	69.648	0.3797
T0000	C008	55.611	0.6302
T0000	C009	65.487	0.3376
T0000	C010	69.838	0.4296
T0000	C011	73.348	0.3884
T0000	C012	80.107	0.4752
T0000	C013	75.310	0.3309
T0000	C014	93.286	0.4118
T0000	C015	77.977	0.4008
T0000	C016	74.047	0.3453
T0000	C017	69.577	0.5826
T0000	C018	83.126	0.2705
T0000	C019	79.782	0.5204
T0000	C020	71.625	0.3040
T0000	C021	83.606	0.4467
T0000	C022	73.410	0.5008
T0000	C023	79.272	0.3122
T0000	C024	69.532	0.4446
T0000	C025	74.192	0.6474
T0000	C026	73.099	0.3379
T0000	C027	75.272	0.2659
T0000	C028	68.564	0.5386
T0000	C029	68.253	0.7046
T0000	C030	67.063	0.4048
T0000	C031	80.756	0.4909
T0000	C032	83.332	0.5767
T0000	C033	76.295	0.4810
T0000	C034	66.102	0.5550
T0000	C035	79.266	0.2409
T0000	C036	62.182	0.5147
T0000	C037	68.559	0.6159
T0000	C038	59.692	0.6523
T0000	C039	68.148	0.2490
T0000	C040	74.164	0.5939
T0000	C041	70.129	0.5034
T0000	C042	64.378	0.3006
T0000	C043	82.426	0.3463
T0000	C044	76.586	0.4994
T0000	C045	72.205	0.4400
T0000	C046	63.864	0.5274
T0000	C047	80.441	0.4708
T0000	C048	65.623	0.3102
T0000	C049	59.817	0.3250
T0000	C050	73.350	0.2301
T0000	C051	86.329	0.2489
T0000	C052	68.298	0.4135
T0000	C053	89.060	0.4717
T0000	C054	67.185	0.4913
T0000	C055	65.710	0.3077
T0000	C056	72.970	0.2088
T0000	C057	68.626	0.5631
T0000	C058	78.639	0.4174
T0000	C059	73.936	0.4798
T0000	C060	70.834	0.5355
T0000	C061	74.796	0.6312
T0000	C062	65.591	0.2881
T0000	C063	85.292	0.4377
T0000	C064	76.588	0.3280
T0000	C065	76.795	0.3775
T0000	C066	65.164	0.5727
T0000	C067	74.195	0.3027
T0000	C068	69.962	0.3375
T0000	C069	76.681	0.3368
T0000	C070	72.199	0.4549
T0000	C071	74.242	0.5206
T0000	C072	74.521	0.4645
T0000	C073	80.347	0.3079
T0000	C074	77.172	0.4541
T0000	C075	68.797	0.3418
T0000	C076	75.318	0.1914
T0000	C077	75.878	0.2905
T0000	C078	76.015	0.4016
T0000	C079	73.231	0.6335
T0001	C000	96.492	0.4591
T0001	C001	106.380	0.4786
T0001	C002	95.349	0.2218
T0001	C003	102.046	0.6335
T0001	C004	89.146	0.4058
T0001	C005	88.808	0.4059
T0001	C006	84.134	0.5014
T0001	C007	105.444	0.3419
T0001	C008	104.967	0.2749
T0001	C009	100.683	0.5894
T0001	C010	89.241	0.2853
T0001	C011	95.530	0.3324
T0001	C012	78.040	0.6296
T0001	C013	110.353	0.3907
T0001	C014	95.656	0.2597
T0001	C015	90.218	0.4577
T0001	C016	93.310	0.5280
T0001	C017	113.000	0.1645
T0001	C018	76.019	0.2567
T0001	C019	91.959	0.2738
T0001	C020	97.216	0.1896
T0001	C021	91.148	0.2654
T0001	C022	87.611	0.4259
T0001	C023	87.932	0.3231
T0001	C024	97.620	0.3797
T0001	C025	109.357	0.4211
T0001	C026	95.023	0.3281
T0001	C027	114.468	0.1513
T0001	C028	100.791	0.3755
T0001	C029	109.810	0.1778
T0001	C030	90.536	0.4627
T0001	C031	84.725	0.2364
T0001	C032	77.878	0.2368
T0001	C033	86.337	0.4770
T0001	C034	96.283	0.1931
T0001	C035	89.866	0.3903
T0001	C036	103.154	0.1978
T0001	C037	105.263	0.4959
T0001	C038	105.940	0.2407
T0001	C039	99.907	0.2800
T0001	C040	106.099	0.3165
