task_id_list	courier_id	total_score	willingness
T0000	C000	41.698	0.3418
T0000	C001	61.587	0.1018
T0000	C002	46.700	0.2815
T0000	C003	22.751	0.3730
T0000	C004	47.319	0.3171
T0000	C005	44.543	0.3049
T0000	C006	36.152	0.1966
T0000	C007	40.968	0.2424
T0000	C008	49.896	0.3333
T0000	C009	40.791	0.3285
T0000	C010	36.923	0.2033
T0000	C011	15.368	0.4243
T0000	C012	23.691	0.1884
T0000	C013	59.767	0.1620
T0000	C014	61.392	0.2587
T0000	C015	41.443	0.1374
T0000	C016	45.885	0.1037
T0000	C017	41.862	0.2435
T0000	C018	18.989	0.3873
T0000	C019	30.625	0.3366
T0000	C020	25.931	0.2646
T0000	C021	36.509	0.2862
T0000	C022	41.739	0.1677
T0000	C023	33.524	0.3035
T0000	C024	36.125	0.2724
T0000	C025	37.757	0.1548
T0000	C026	49.197	0.3891
T0000	C027	46.205	0.3150
T0000	C028	47.411	0.2160
T0000	C029	40.477	0.2753
T0000	C030	34.686	0.2765
T0000	C031	41.113	0.2675
T0000	C032	54.166	0.3208
T0000	C033	37.691	0.3017
T0000	C034	41.370	0.3200
T0000	C035	31.048	0.2538
T0000	C036	54.108	0.2468
T0000	C037	42.934	0.3744
T0000	C038	51.100	0.3626
T0000	C039	49.018	0.2011
T0000	C040	44.451	0.2500
T0000	C041	49.551	0.1626
T0000	C042	43.719	0.2123
T0000	C043	45.592	0.3300
T0000	C044	51.655	0.1926
T0000	C045	42.747	0.3354
T0000	C046	45.146	0.3724
T0000	C047	37.274	0.3419
T0000	C048	44.966	0.3524
T0000	C049	37.904	0.2787
T0000	C050	42.564	0.2000
T0000	C051	40.133	0.2303
T0000	C052	52.159	0.2237
T0000	C053	54.862	0.1534
T0000	C054	46.024	0.3349
T0000	C055	43.066	0.2381
T0000	C056	39.363	0.2684
T0000	C057	50.584	0.2609
T0000	C058	25.417	0.2637
T0000	C059	44.599	0.3594
T0000	C060	41.772	0.2147
T0000	C061	34.358	0.2754
T0000	C062	28.722	0.3739
T0000	C063	61.033	0.2876
T0000	C064	36.338	0.3111
T0000	C065	42.463	0.3227
T0000	C066	25.184	0.4059
T0000	C067	50.445	0.2589
T0000	C068	32.515	0.2793
T0000	C069	18.847	0.3055
T0001	C000	66.725	0.1730
T0001	C001	55.433	0.1965
T0001	C002	60.060	0.2229
T0001	C003	48.559	0.3488
T0001	C004	72.942	0.3094
T0001	C005	73.457	0.2341
T0001	C006	83.796	0.1928
T0001	C007	76.336	0.2158
T0001	C008	71.046	0.2425
T0001	C009	77.023	0.2254
T0001	C010	67.154	0.2862
T0001	C011	59.912	0.3045
T0001	C012	54.983	0.3532
T0001	C013	101.786	0.1676
T0001	C014	68.568	0.2970
T0001	C015	80.140	0.1807
T0001	C016	67.676	0.2055
T0001	C017	58.687	0.2179
T0001	C018	59.538	0.3300
T0001	C019	62.215	0.2125
T0001	C020	59.597	0.2906
T0001	C021	73.163	0.1559
T0001	C022	79.946	0.1433
T0001	C023	50.361	0.1983
T0001	C024	71.331	0.2119
T0001	C025	75.569	0.3384
T0001	C026	95.176	0.2746
T0001	C027	92.946	0.2139
T0001	C028	68.198	0.2801
T0001	C029	82.717	0.2466
T0001	C030	66.593	0.1792
T0001	C031	61.303	0.1887
T0001	C032	96.191	0.1458
T0001	C033	66.758	0.1903
T0001	C034	68.188	0.4097
T0001	C035	58.425	0.2004
T0001	C036	81.751	0.1739
T0001	C037	88.417	0.2552
T0001	C038	76.473	0.2039
T0001	C039	55.547	0.2149
T0001	C040	65.500	0.2810
T0001	C041	70.520	0.1913
T0001	C042	81.397	0.2192
T0001	C043	74.951	0.1491
T0001	C044	88.313	0.2034
T0001	C045	64.456	0.3141
T0001	C046	75.249	0.3016
T0001	C047	67.286	0.2593
T0001	C048	76.567	0.2955
T0001	C049	74.607	0.2740
T0001	C050	74.812	0.2064
T0001	C051	90.047	0.3176
T0001	C052	65.277	0.2523
T0001	C053	57.229	0.1234
T0001	C054	70.032	0.3917
T0001	C055	88.658	0.1650
T0001	C056	86.405	0.1837
T0001	C057	91.801	0.2294
T0001	C058	51.330	0.2188
T0001	C059	52.755	0.2081
T0001	C060	66.656	0.2060
T0001	C061	65.921	0.3532
T0001	C062	68.071	0.1407
T0001	C063	82.173	0.1738
T0001	C064	74.228	0.1594
T0001	C065	88.110	0.2331
T0001	C066	94.323	0.2299
T0001	C067	73.866	0.3012
T0001	C068	89.242	0.0773
T0001	C069	60.099	0.2074
T0002	C000	65.648	0.2109
T0002	C001	77.087	0.2019
T0002	C002	83.436	0.1348
T0002	C003	59.264	0.2453
T0002	C004	76.527	0.2159
T0002	C005	74.572	0.2788
T0002	C006	83.693	0.1193
T0002	C007	79.097	0.1569
T0002	C008	82.996	0.2875
T0002	C009	89.173	0.2826
T0002	C010	68.093	0.3166
T0002	C011	50.916	0.3476
T0002	C012	70.908	0.1725
T0002	C013	105.240	0.3056
T0002	C014	77.198	0.2618
T0002	C015	105.601	0.1159
T0002	C016	75.591	0.2932
T0002	C017	67.047	0.1958
T0002	C018	78.262	0.2569
T0002	C019	79.544	0.2424
T0002	C020	65.618	0.2132
T0002	C021	100.736	0.1467
T0002	C022	81.550	0.3609
T0002	C023	51.599	0.3181
T0002	C024	89.610	0.2034
T0002	C025	85.722	0.0874
T0002	C026	98.179	0.1526
T0002	C027	98.391	0.1602
T0002	C028	71.575	0.3073
T0002	C029	72.891	0.1823
T0002	C030	64.960	0.1679
T0002	C031	92.506	0.2145
T0002	C032	109.189	0.1646
T0002	C033	86.930	0.1171
T0002	C034	89.169	0.3165
T0002	C035	69.519	0.2244
T0002	C036	93.472	0.1223
T0002	C037	95.626	0.2008
T0002	C038	91.505	0.3423
T0002	C039	59.344	0.2312
T0002	C040	71.649	0.2689
T0002	C041	79.764	0.1111
T0002	C042	91.946	0.1937
T0002	C043	94.607	0.1598
T0002	C044	114.578	0.1415
T0002	C045	79.000	0.1897
T0002	C046	100.789	0.1312
T0002	C047	96.778	0.1699
T0002	C048	86.282	0.2937
T0002	C049	85.026	0.3169
T0002	C050	84.701	0.2671
T0002	C051	90.960	0.1688
T0002	C052	64.730	0.2620
T0002	C053	82.331	0.0973
T0002	C054	53.474	0.3035
T0002	C055	99.745	0.1515
T0002	C056	81.658	0.1212
T0002	C057	90.372	0.1276
T0002	C058	72.037	0.2227
T0002	C059	85.640	0.2013
T0002	C060	71.608	0.1671
T0002	C061	77.017	0.1270
T0002	C062	75.123	0.2012
T0002	C063	96.256	0.1017
T0002	C064	58.754	0.2021
T0002	C065	92.576	0.1338
T0002	C066	85.140	0.3144
T0002	C067	73.187	0.2533
T0002	C068	105.369	0.1524
T0002	C069	73.701	0.1797
T0003	C000	70.057	0.1932
T0003	C001	76.624	0.1613
T0003	C002	77.466	0.3056
T0003	C003	42.264	0.3142
T0003	C004	78.753	0.1523
T0003	C005	68.944	0.1855
T0003	C006	75.016	0.1853
T0003	C007	80.283	0.1890
T0003	C008	65.874	0.2461
T0003	C009	62.558	0.2232
T0003	C010	51.845	0.3177
T0003	C011	55.784	0.3398
T0003	C012	57.460	0.3167
T0003	C013	86.955	0.3524
T0003	C014	85.395	0.2205
T0003	C015	75.325	0.1758
T0003	C016	73.001	0.2901
T0003	C017	58.843	0.1613
T0003	C018	54.320	0.3386
T0003	C019	59.375	0.1604
T0003	C020	53.834	0.4046
T0003	C021	82.022	0.1811
T0003	C022	77.329	0.3650
T0003	C023	49.351	0.2511
T0003	C024	58.674	0.2347
T0003	C025	69.780	0.2442
T0003	C026	81.669	0.3171
T0003	C027	87.623	0.1652
T0003	C028	69.102	0.3274
T0003	C029	63.813	0.2248
T0003	C030	53.514	0.2481
T0003	C031	57.188	0.3753
T0003	C032	86.421	0.3323
T0003	C033	57.416	0.1373
T0003	C034	67.291	0.1916
T0003	C035	50.937	0.3587
T0003	C036	73.257	0.1642
T0003	C037	55.911	0.2475
T0003	C038	80.793	0.4067
T0003	C039	59.066	0.3156
T0003	C040	82.737	0.1579
