task_id_list	courier_id	total_score	willingness
T0000	C000	59.398	0.2178
T0000	C001	51.479	0.3731
T0000	C002	61.075	0.5393
T0000	C003	50.031	0.4226
T0000	C004	59.218	0.3431
T0000	C005	43.961	0.5856
T0000	C006	56.982	0.5049
T0000	C007	49.677	0.6517
T0000	C008	53.353	0.2154
T0000	C009	56.331	0.5634
T0000	C010	55.185	0.7390
T0000	C011	46.514	0.4449
T0000	C012	45.489	0.5950
T0000	C013	49.257	0.4929
T0000	C014	44.595	0.6496
T0000	C015	64.881	0.4914
T0000	C016	56.795	0.5854
T0000	C017	55.384	0.6440
T0000	C018	40.042	0.2152
T0000	C019	61.965	0.5361
T0000	C020	54.704	0.4142
T0000	C021	66.631	0.6289
T0000	C022	64.167	0.6763
T0000	C023	34.283	0.3771
T0000	C024	79.776	0.4630
T0000	C025	52.820	0.4109
T0000	C026	39.612	0.6327
T0000	C027	53.638	0.3517
T0000	C028	68.717	0.4167
T0000	C029	79.074	0.3762
T0000	C030	61.116	0.4270
T0000	C031	67.788	0.4622
T0000	C032	47.625	0.2490
T0000	C033	65.256	0.5632
T0000	C034	45.347	0.7906
T0000	C035	75.242	0.4482
T0000	C036	57.205	0.4164
T0000	C037	57.288	0.5807
T0000	C038	63.036	0.4168
T0000	C039	44.109	0.7349
T0000	C040	63.833	0.4321
T0000	C041	41.960	0.5499
T0000	C042	64.250	0.6163
T0000	C043	45.807	0.7304
T0000	C044	56.282	0.6071
T0000	C045	40.455	0.7908
T0000	C046	69.373	0.6403
T0000	C047	41.389	0.4231
T0000	C048	50.019	0.4992
T0000	C049	41.951	0.5696
T0000	C050	62.015	0.6357
T0000	C051	49.527	0.5870
T0000	C052	38.203	0.6413
T0000	C053	45.458	0.4393
T0000	C054	69.059	0.3296
T0000	C055	58.964	0.5984
T0000	C056	72.332	0.7543
T0000	C057	68.973	0.6385
T0000	C058	59.586	0.2000
T0000	C059	46.911	0.6832
T0001	C000	61.284	0.3586
T0001	C001	37.023	0.5026
T0001	C002	14.388	0.6170
T0001	C003	50.399	0.5303
T0001	C004	42.110	0.5950
T0001	C005	46.883	0.2395
T0001	C006	39.112	0.2869
T0001	C007	33.616	0.6778
T0001	C008	53.734	0.4862
T0001	C009	36.030	0.2115
T0001	C010	49.579	0.6336
T0001	C011	36.847	0.3095
T0001	C012	10.960	0.5798
T0001	C013	21.708	0.5372
T0001	C014	22.372	0.3681
T0001	C015	38.538	0.4895
T0001	C016	39.415	0.4955
T0001	C017	38.622	0.5741
T0001	C018	4.368	0.5861
T0001	C019	30.164	0.6302
T0001	C020	19.481	0.4196
T0001	C021	44.341	0.5823
T0001	C022	43.248	0.6634
T0001	C023	20.368	0.5844
T0001	C024	53.684	0.7222
T0001	C025	29.312	0.3645
T0001	C026	24.749	0.5546
T0001	C027	41.160	0.6250
T0001	C028	40.855	0.4686
T0001	C029	51.765	0.6055
T0001	C030	29.513	0.5544
T0001	C031	28.206	0.5134
T0001	C032	45.082	0.4850
T0001	C033	45.934	0.5607
T0001	C034	45.446	0.6341
T0001	C035	53.815	0.6677
T0001	C036	36.871	0.5348
T0001	C037	51.354	0.6218
T0001	C038	44.935	0.4106
T0001	C039	17.517	0.6629
T0001	C040	46.503	0.4150
T0001	C041	29.517	0.6610
T0001	C042	19.754	0.6272
T0001	C043	29.433	0.5661
T0001	C044	46.737	0.4043
T0001	C045	11.432	0.8230
T0001	C046	47.967	0.4361
T0001	C047	29.452	0.5538
T0001	C048	33.914	0.3996
T0001	C049	19.710	0.5770
T0001	C050	33.525	0.2197
T0001	C051	30.286	0.6905
T0001	C052	17.324	0.6104
T0001	C053	13.058	0.6264
T0001	C054	47.924	0.4414
T0001	C055	30.452	0.5113
T0001	C056	40.717	0.6945
T0001	C057	29.443	0.4840
T0001	C058	37.870	0.6671
T0001	C059	34.773	0.4473
T0002	C000	83.768	0.3123
T0002	C001	77.776	0.5181
T0002	C002	65.374	0.2856
T0002	C003	78.721	0.4484
T0002	C004	72.055	0.3190
T0002	C005	67.447	0.3761
T0002	C006	44.980	0.2570
T0002	C007	68.941	0.3553
T0002	C008	75.516	0.2076
T0002	C009	71.649	0.4600
T0002	C010	80.544	0.5201
T0002	C011	74.141	0.6599
T0002	C012	49.464	0.7543
T0002	C013	54.471	0.2206
T0002	C014	79.254	0.5433
T0002	C015	67.024	0.3585
T0002	C016	80.889	0.3222
T0002	C017	57.267	0.6809
T0002	C018	54.528	0.5142
T0002	C019	70.651	0.4723
T0002	C020	65.668	0.4933
T0002	C021	75.652	0.6441
T0002	C022	86.627	0.3855
T0002	C023	65.581	0.5194
T0002	C024	69.485	0.6811
