task_id_list	courier_id	total_score	willingness
T0000	C000	45.013	0.6909
T0000	C001	56.744	0.6483
T0000	C002	44.029	0.3601
T0000	C003	23.920	0.5491
T0000	C004	53.653	0.5927
T0000	C005	36.513	0.5607
T0000	C006	32.523	0.3033
T0000	C007	40.323	0.6191
T0000	C008	40.190	0.3043
T0000	C009	48.026	0.5627
T0000	C010	50.538	0.4618
T0000	C011	47.157	0.2261
T0000	C012	47.792	0.4062
T0000	C013	47.800	0.5875
T0000	C014	24.675	0.2993
T0000	C015	51.661	0.4999
T0000	C016	35.179	0.4055
T0000	C017	47.314	0.3992
T0000	C018	55.023	0.2944
T0000	C019	41.493	0.7071
T0000	C020	43.443	0.4808
T0000	C021	46.125	0.5839
T0000	C022	20.555	0.5488
T0000	C023	41.693	0.5084
T0000	C024	48.145	0.4402
T0000	C025	32.232	0.5590
T0000	C026	59.725	0.4316
T0000	C027	38.462	0.5819
T0000	C028	53.258	0.1190
T0000	C029	43.043	0.3753
T0000	C030	53.417	0.6035
T0000	C031	46.224	0.2159
T0000	C032	55.827	0.4423
T0000	C033	46.725	0.5957
T0000	C034	6.638	0.3171
T0000	C035	41.572	0.5499
T0000	C036	33.207	0.4577
T0000	C037	57.836	0.4123
T0000	C038	47.481	0.3421
T0000	C039	49.324	0.5417
T0000	C040	52.273	0.4207
T0000	C041	36.549	0.4202
T0000	C042	32.359	0.4041
T0000	C043	50.886	0.5122
T0000	C044	45.946	0.5798
T0000	C045	38.567	0.3836
T0000	C046	52.250	0.6018
T0000	C047	54.176	0.3238
T0000	C048	53.932	0.3327
T0000	C049	56.812	0.4268
T0000	C050	43.533	0.3304
T0000	C051	36.599	0.6912
T0000	C052	38.829	0.5469
T0000	C053	44.490	0.6217
T0000	C054	51.053	0.3877
T0000	C055	45.366	0.5906
T0000	C056	60.141	0.2575
T0000	C057	48.756	0.5590
T0000	C058	30.891	0.4959
T0000	C059	39.764	0.6250
T0001	C000	44.019	0.6340
T0001	C001	38.830	0.4738
T0001	C002	63.486	0.3867
T0001	C003	76.941	0.1907
T0001	C004	62.217	0.5260
T0001	C005	57.174	0.4424
T0001	C006	70.346	0.2353
T0001	C007	75.422	0.5973
T0001	C008	76.429	0.4294
T0001	C009	71.171	0.3279
T0001	C010	82.296	0.2777
T0001	C011	60.610	0.3631
T0001	C012	54.877	0.3663
T0001	C013	77.050	0.3956
T0001	C014	43.414	0.4414
T0001	C015	64.872	0.5284
T0001	C016	58.227	0.2678
T0001	C017	56.314	0.2467
T0001	C018	65.447	0.4232
T0001	C019	55.543	0.4242
T0001	C020	62.080	0.3737
T0001	C021	47.090	0.7035
T0001	C022	68.885	0.5562
T0001	C023	66.010	0.4943
T0001	C024	61.482	0.2589
T0001	C025	50.283	0.3795
T0001	C026	74.038	0.1847
T0001	C027	37.767	0.5983
T0001	C028	42.794	0.4415
T0001	C029	50.440	0.4237
T0001	C030	69.670	0.5020
T0001	C031	48.477	0.5939
T0001	C032	76.096	0.6947
T0001	C033	33.114	0.5614
T0001	C034	50.151	0.2282
T0001	C035	59.828	0.6196
T0001	C036	37.588	0.5846
T0001	C037	80.449	0.4629
T0001	C038	68.918	0.3911
T0001	C039	64.400	0.7014
T0001	C040	40.787	0.3957
T0001	C041	72.578	0.3916
T0001	C042	66.285	0.3242
T0001	C043	66.783	0.3998
T0001	C044	51.513	0.4788
T0001	C045	47.559	0.6494
T0001	C046	37.506	0.6039
T0001	C047	61.865	0.3604
T0001	C048	82.810	0.3113
T0001	C049	49.636	0.4648
T0001	C050	46.287	0.5315
T0001	C051	69.721	0.4589
T0001	C052	48.085	0.4958
T0001	C053	40.835	0.5222
T0001	C054	66.294	0.5861
T0001	C055	80.128	0.6186
T0001	C056	69.876	0.3576
T0001	C057	68.053	0.6446
T0001	C058	70.175	0.6011
T0001	C059	55.137	0.5116
T0002	C000	34.626	0.3777
T0002	C001	52.222	0.6656
T0002	C002	55.995	0.2680
T0002	C003	42.557	0.4385
T0002	C004	46.666	0.6894
T0002	C005	33.536	0.2987
T0002	C006	47.178	0.5572
T0002	C007	50.565	0.4081
T0002	C008	45.271	0.6501
T0002	C009	53.371	0.5325
T0002	C010	67.328	0.5245
T0002	C011	55.625	0.4221
T0002	C012	43.882	0.7261
T0002	C013	51.078	0.2522
T0002	C014	33.847	0.5878
T0002	C015	44.260	0.4725
T0002	C016	32.288	0.4239
T0002	C017	34.632	0.5056
T0002	C018	45.083	0.4370
T0002	C019	56.669	0.4649
T0002	C020	50.335	0.2991
T0002	C021	30.500	0.7065
T0002	C022	45.574	0.4109
T0002	C023	43.898	0.4592
T0002	C024	53.923	0.3385
T0002	C025	42.128	0.4958
T0002	C026	64.329	0.3508
T0002	C027	43.472	0.3317
T0002	C028	43.048	0.2364
T0002	C029	47.365	0.5565
T0002	C030	47.269	0.6842
T0002	C031	55.439	0.1741
T0002	C032	47.204	0.5996
T0002	C033	45.097	0.7246
T0002	C034	36.711	0.6020
T0002	C035	48.234	0.3303
T0002	C036	34.503	0.4869
T0002	C037	64.006	0.3586
T0002	C038	52.220	0.4494
T0002	C039	40.744	0.3353
T0002	C040	47.138	0.3759
T0002	C041	34.327	0.3838
T0002	C042	38.855	0.2017
T0002	C043	44.592	0.5358
T0002	C044	53.192	0.6026
T0002	C045	39.414	0.7072
T0002	C046	48.895	0.4676
T0002	C047	51.021	0.4355
T0002	C048	58.695	0.2271
T0002	C049	56.914	0.4701
T0002	C050	58.696	0.3408
T0002	C051	47.818	0.4936
T0002	C052	38.310	0.5466
T0002	C053	40.344	0.4055
T0002	C054	53.541	0.4766
T0002	C055	43.567	0.4784
T0002	C056	62.822	0.6880
T0002	C057	47.971	0.7065
T0002	C058	42.541	0.4877
T0002	C059	40.216	0.5792
T0003	C000	35.597	0.4916
T0003	C001	53.631	0.5429
T0003	C002	36.406	0.5932
T0003	C003	60.610	0.4362
T0003	C004	56.040	0.5456
T0003	C005	33.486	0.6497
T0003	C006	43.746	0.2932
