task_id_list	courier_id	total_score	willingness
T0000	C000	9.669	0.4274
T0000	C001	36.401	0.4913
T0000	C002	37.353	0.4498
T0000	C003	36.609	0.3684
T0000	C004	33.923	0.5727
T0000	C005	40.934	0.5076
T0000	C006	37.587	0.5680
T0000	C007	50.115	0.6651
T0000	C008	26.419	0.3869
T0000	C009	44.384	0.2339
T0000	C010	28.926	0.3802
T0000	C011	46.103	0.6731
T0000	C012	33.376	0.5762
T0000	C013	32.212	0.3999
T0000	C014	50.919	0.3320
T0000	C015	60.482	0.5750
T0000	C016	35.300	0.5323
T0000	C017	17.924	0.3567
T0000	C018	23.696	0.2254
T0000	C019	42.708	0.4920
T0000	C020	15.734	0.3004
T0000	C021	50.521	0.7534
T0000	C022	48.900	0.5327
T0000	C023	37.250	0.6466
T0000	C024	33.162	0.3497
T0000	C025	33.789	0.3664
T0000	C026	36.776	0.6131
T0000	C027	23.040	0.3218
T0000	C028	19.015	0.4398
T0000	C029	31.152	0.6238
T0000	C030	39.898	0.5998
T0000	C031	34.839	0.4863
T0000	C032	31.497	0.4497
T0000	C033	43.942	0.4380
T0000	C034	28.341	0.5547
T0000	C035	34.488	0.4481
T0000	C036	52.407	0.5243
T0000	C037	10.415	0.2158
T0000	C038	49.505	0.3026
T0000	C039	58.655	0.4875
T0000	C040	28.129	0.5903
T0000	C041	44.250	0.4834
T0000	C042	34.249	0.4477
T0000	C043	38.835	0.5925
T0000	C044	49.179	0.3416
T0000	C045	38.742	0.4813
T0000	C046	53.916	0.6111
T0000	C047	47.903	0.7270
T0000	C048	11.056	0.5069
T0000	C049	40.862	0.6015
T0000	C050	17.276	0.4288
T0000	C051	38.907	0.4726
T0000	C052	25.671	0.4838
T0000	C053	24.898	0.4060
T0000	C054	37.896	0.5156
T0000	C055	19.845	0.5386
T0000	C056	35.295	0.5410
T0000	C057	28.392	0.3716
T0000	C058	37.579	0.3750
T0000	C059	33.922	0.3331
T0001	C000	66.732	0.5984
T0001	C001	66.881	0.2859
T0001	C002	91.129	0.5729
T0001	C003	80.628	0.5535
T0001	C004	65.256	0.7350
T0001	C005	69.848	0.4827
T0001	C006	96.627	0.6870
T0001	C007	65.045	0.4631
T0001	C008	83.438	0.7050
T0001	C009	92.327	0.4384
T0001	C010	95.601	0.6233
T0001	C011	109.764	0.7991
T0001	C012	91.855	0.7164
T0001	C013	68.205	0.6742
T0001	C014	100.930	0.7040
T0001	C015	97.581	0.7122
T0001	C016	77.075	0.5119
T0001	C017	91.096	0.2976
T0001	C018	90.215	0.4425
T0001	C019	82.117	0.6873
T0001	C020	83.898	0.5823
T0001	C021	119.195	0.7118
T0001	C022	109.281	0.5332
T0001	C023	91.935	0.7930
T0001	C024	66.151	0.5090
T0001	C025	92.379	0.5945
T0001	C026	101.642	0.7856
T0001	C027	94.053	0.7730
T0001	C028	69.039	0.4694
T0001	C029	89.971	0.6259
T0001	C030	97.238	0.6470
T0001	C031	86.815	0.5762
T0001	C032	82.440	0.6607
T0001	C033	97.922	0.4915
T0001	C034	76.142	0.5509
T0001	C035	73.896	0.5233
T0001	C036	76.096	0.4138
T0001	C037	66.584	0.5765
T0001	C038	93.594	0.6540
T0001	C039	78.417	0.4993
T0001	C040	86.531	0.2879
T0001	C041	72.476	0.5732
T0001	C042	93.601	0.5744
T0001	C043	59.536	0.7268
T0001	C044	88.334	0.4732
T0001	C045	70.114	0.5073
T0001	C046	84.185	0.6189
T0001	C047	59.685	0.7759
T0001	C048	83.937	0.4697
T0001	C049	104.889	0.6779
T0001	C050	95.365	0.7550
T0001	C051	57.568	0.3375
T0001	C052	69.375	0.4808
T0001	C053	106.650	0.6475
T0001	C054	109.605	0.7112
T0001	C055	79.833	0.7376
T0001	C056	94.828	0.4791
T0001	C057	73.644	0.5351
T0001	C058	57.759	0.3830
T0001	C059	98.705	0.4996
T0002	C000	73.414	0.7287
T0002	C001	80.593	0.6763
T0002	C002	91.242	0.5146
T0002	C003	71.717	0.3533
T0002	C004	71.057	0.8009
T0002	C005	77.992	0.5944
T0002	C006	61.610	0.3590
T0002	C007	72.979	0.7465
T0002	C008	79.983	0.4544
T0002	C009	83.193	0.5142
T0002	C010	73.515	0.6388
T0002	C011	54.845	0.4562
T0002	C012	77.305	0.6107
T0002	C013	92.396	0.6929
T0002	C014	75.531	0.7317
T0002	C015	75.890	0.6368
T0002	C016	64.153	0.4363
T0002	C017	68.228	0.2482
T0002	C018	66.169	0.1830
T0002	C019	80.473	0.5117
T0002	C020	69.258	0.4006
T0002	C021	68.092	0.7665
T0002	C022	66.640	0.3969
T0002	C023	54.362	0.5514
T0002	C024	79.681	0.3971
T0002	C025	55.139	0.5634
T0002	C026	69.476	0.5622
T0002	C027	69.733	0.4154
T0002	C028	66.651	0.6586
T0002	C029	68.103	0.5426
T0002	C030	69.456	0.6953
T0002	C031	53.772	0.5139
T0002	C032	89.899	0.3577
T0002	C033	78.432	0.4250
T0002	C034	74.202	0.6836
T0002	C035	99.646	0.5321
T0002	C036	81.797	0.2979
T0002	C037	71.943	0.4456
T0002	C038	78.782	0.6269
T0002	C039	65.135	0.3252
T0002	C040	66.451	0.5833
T0002	C041	74.407	0.5468
T0002	C042	85.015	0.6201
T0002	C043	65.664	0.7362
T0002	C044	70.593	0.3612
T0002	C045	61.226	0.5899
T0002	C046	75.616	0.4235
T0002	C047	79.860	0.6427
T0002	C048	84.654	0.4595
T0002	C049	76.915	0.4538
T0002	C050	64.150	0.6491
T0002	C051	68.576	0.3594
T0002	C052	53.524	0.6479
T0002	C053	68.150	0.5168
T0002	C054	62.295	0.3822
T0002	C055	76.304	0.4799
T0002	C056	55.760	0.3199
T0002	C057	71.483	0.5482
T0002	C058	80.656	0.6158
T0002	C059	50.935	0.5815
T0003	C000	47.325	0.6459
T0003	C001	49.465	0.4080
T0003	C002	51.870	0.6201
T0003	C003	49.414	0.6035
T0003	C004	37.810	0.6895
T0003	C005	73.176	0.6290
T0003	C006	30.131	0.6701
T0003	C007	53.310	0.5777
T0003	C008	32.947	0.4960
T0003	C009	42.328	0.2065
T0003	C010	40.207	0.5477
T0003	C011	35.294	0.4938
T0003	C012	35.236	0.3490
T0003	C013	57.279	0.5647
T0003	C014	42.487	0.5481
T0003	C015	45.998	0.5930
T0003	C016	34.813	0.3663
T0003	C017	26.900	0.3298
T0003	C018	17.633	0.3365
T0003	C019	52.797	0.5249
T0003	C020	42.414	0.6597
T0003	C021	22.106	0.5783
T0003	C022	34.561	0.5897
T0003	C023	40.722	0.6777
T0003	C024	46.640	0.5494
T0003	C025	19.989	0.2951
T0003	C026	34.434	0.5949
T0003	C027	44.806	0.6305
T0003	C028	27.176	0.1607
T0003	C029	46.915	0.2630
T0003	C030	22.195	0.3998
T0003	C031	48.182	0.3961
T0003	C032	50.352	0.5283
T0003	C033	45.390	0.1543
T0003	C034	34.468	0.6436
T0003	C035	54.865	0.3367
T0003	C036	59.201	0.6443
T0003	C037	37.426	0.6106
T0003	C038	44.987	0.5967
T0003	C039	34.514	0.2884
T0003	C040	54.909	0.6157
T0003	C041	55.593	0.5586
T0003	C042	65.414	0.6397
T0003	C043	32.383	0.3966
T0003	C044	49.403	0.3865
T0003	C045	40.123	0.5740
T0003	C046	60.323	0.5146
T0003	C047	54.938	0.6566
T0003	C048	41.217	0.4881
T0003	C049	44.165	0.4363
T0003	C050	31.846	0.3438
T0003	C051	46.874	0.4203
T0003	C052	38.533	0.5487
T0003	C053	42.507	0.6321
T0003	C054	19.991	0.3938
T0003	C055	59.714	0.5750
T0003	C056	32.737	0.3188
T0003	C057	49.154	0.3414
T0003	C058	44.617	0.5158
T0003	C059	16.351	0.2985
T0004	C000	41.365	0.6358
T0004	C001	43.947	0.4451
T0004	C002	46.568	0.6481
T0004	C003	52.589	0.5047
T0004	C004	39.508	0.6516
T0004	C005	54.930	0.3968
T0004	C006	56.919	0.6432
T0004	C007	31.477	0.5674
T0004	C008	46.481	0.5564
T0004	C009	59.373	0.5969
T0004	C010	56.189	0.6755
T0004	C011	62.965	0.6887
T0004	C012	54.521	0.7024
T0004	C013	33.851	0.5581
T0004	C014	64.019	0.5790
T0004	C015	58.525	0.6697
T0004	C016	33.609	0.4254
T0004	C017	45.334	0.3192
T0004	C018	48.173	0.6158
T0004	C019	59.443	0.6300
T0004	C020	41.503	0.2169
T0004	C021	66.851	0.6513
T0004	C022	54.875	0.3785
T0004	C023	60.268	0.7723
T0004	C024	48.335	0.4580
T0004	C025	55.604	0.5338
T0004	C026	76.106	0.7000
T0004	C027	54.664	0.7265
T0004	C028	43.386	0.5048
T0004	C029	46.581	0.4189
T0004	C030	49.504	0.5315
T0004	C031	43.289	0.4154
T0004	C032	43.013	0.4216
T0004	C033	55.432	0.5329
T0004	C034	55.390	0.5383
T0004	C035	43.639	0.5158
T0004	C036	52.505	0.4497
T0004	C037	26.405	0.5647
T0004	C038	68.099	0.4550
T0004	C039	58.509	0.3969
T0004	C040	47.967	0.4458
T0004	C041	26.914	0.4720
T0004	C042	45.591	0.5508
T0004	C043	46.505	0.4539
T0004	C044	69.479	0.4912
T0004	C045	29.905	0.4972
T0004	C046	67.229	0.6310
T0004	C047	36.531	0.7068
T0004	C048	37.020	0.2271
T0004	C049	64.568	0.7849
T0004	C050	34.672	0.3994
T0004	C051	33.331	0.3279
T0004	C052	32.500	0.5447
T0004	C053	62.074	0.5646
T0004	C054	60.309	0.6087
T0004	C055	46.580	0.5448
T0004	C056	53.336	0.5623
T0004	C057	44.496	0.5272
T0004	C058	37.529	0.3063
T0004	C059	54.970	0.5479
T0005	C000	19.050	0.4189
T0005	C001	36.930	0.3287
T0005	C002	35.827	0.3092
T0005	C003	53.744	0.6702
T0005	C004	24.533	0.4901
T0005	C005	37.722	0.5888
T0005	C006	35.061	0.5422
T0005	C007	24.413	0.7234
T0005	C008	28.702	0.4371
T0005	C009	47.689	0.4146
T0005	C010	32.092	0.5309
T0005	C011	32.772	0.5482
T0005	C012	46.885	0.3358
T0005	C013	49.231	0.6026
T0005	C014	45.738	0.3707
T0005	C015	58.038	0.5349
T0005	C016	43.384	0.5339
T0005	C017	28.780	0.5322
T0005	C018	27.390	0.3470
T0005	C019	52.144	0.6193
T0005	C020	30.620	0.2929
T0005	C021	43.802	0.3694
T0005	C022	32.286	0.5706
T0005	C023	39.990	0.6433
T0005	C024	35.650	0.7009
T0005	C025	36.654	0.3984
T0005	C026	43.683	0.7147
T0005	C027	31.741	0.4570
T0005	C028	17.019	0.6256
T0005	C029	27.181	0.3043
T0005	C030	42.035	0.4264
T0005	C031	34.596	0.3387
T0005	C032	43.629	0.2821
T0005	C033	46.498	0.6844
T0005	C034	26.212	0.4407
T0005	C035	36.124	0.6785
T0005	C036	22.426	0.3427
T0005	C037	33.731	0.5811
T0005	C038	66.347	0.4140
T0005	C039	44.373	0.2521
T0005	C040	32.255	0.4898
T0005	C041	28.194	0.2371
T0005	C042	35.134	0.5988
T0005	C043	39.190	0.4705
T0005	C044	47.386	0.2472
T0005	C045	24.514	0.5371
T0005	C046	61.868	0.8063
T0005	C047	29.641	0.5228
T0005	C048	27.954	0.4382
T0005	C049	43.981	0.5048
T0005	C050	7.915	0.3088
T0005	C051	44.248	0.4924
T0005	C052	29.632	0.6959
T0005	C053	38.066	0.2630
T0005	C054	40.763	0.3842
T0005	C055	40.517	0.7497
T0005	C056	47.882	0.4417
T0005	C057	37.437	0.5903
T0005	C058	34.426	0.5118
T0005	C059	25.713	0.2804
T0006	C000	21.709	0.3002
T0006	C001	18.210	0.3597
T0006	C002	32.895	0.2308
T0006	C003	10.114	0.2554
T0006	C004	14.145	0.6149
T0006	C005	42.460	0.6170
T0006	C006	37.356	0.2271
T0006	C007	26.243	0.2876
T0006	C008	31.222	0.4057
T0006	C009	29.033	0.2035
T0006	C010	43.633	0.4013
T0006	C011	16.692	0.2500
T0006	C012	25.155	0.5311
T0006	C013	34.010	0.2773
T0006	C014	30.378	0.3798
T0006	C015	34.523	0.5574
T0006	C016	17.246	0.3443
T0006	C017	29.940	0.2127
T0006	C018	7.577	0.3330
T0006	C019	43.658	0.6219
T0006	C020	18.609	0.1920
T0006	C021	36.040	0.6943
T0006	C022	22.416	0.4616
T0006	C023	38.585	0.4647
T0006	C024	12.741	0.2704
T0006	C025	15.632	0.4348
T0006	C026	31.742	0.3501
T0006	C027	18.975	0.3232
T0006	C028	15.891	0.7580
T0006	C029	33.351	0.5571
T0006	C030	23.185	0.2635
T0006	C031	13.375	0.2219
T0006	C032	19.554	0.4179
T0006	C033	56.285	0.6645
T0006	C034	18.153	0.6026
T0006	C035	29.105	0.2136
T0006	C036	14.527	0.4388
T0006	C037	39.497	0.6814
T0006	C038	32.616	0.4122
T0006	C039	23.337	0.3847
T0006	C040	32.520	0.3567
T0006	C041	32.166	0.3400
T0006	C042	47.952	0.3850
T0006	C043	7.027	0.5000
T0006	C044	21.156	0.2930
T0006	C045	3.000	0.3893
T0006	C046	15.729	0.2269
T0006	C047	34.544	0.5911
T0006	C048	29.843	0.4622
T0006	C049	25.783	0.4264
T0006	C050	9.149	0.5742
T0006	C051	23.099	0.1463
T0006	C052	10.193	0.3128
T0006	C053	27.716	0.5472
T0006	C054	35.428	0.4859
T0006	C055	36.220	0.4998
T0006	C056	19.671	0.3945
T0006	C057	17.085	0.6863
T0006	C058	29.098	0.4403
T0006	C059	10.365	0.4568
T0007	C000	24.917	0.3334
T0007	C001	33.417	0.3919
T0007	C002	45.706	0.2131
T0007	C003	51.860	0.4371
T0007	C004	25.137	0.4477
T0007	C005	40.622	0.2089
T0007	C006	54.143	0.6086
T0007	C007	36.988	0.4815
T0007	C008	41.192	0.3674
T0007	C009	48.440	0.2486
T0007	C010	41.662	0.6152
T0007	C011	55.068	0.4676
T0007	C012	48.919	0.6088
T0007	C013	37.461	0.4420
T0007	C014	58.638	0.6165
T0007	C015	48.168	0.5474
T0007	C016	30.708	0.5100
T0007	C017	46.367	0.5018
T0007	C018	56.351	0.3187
T0007	C019	56.249	0.3870
T0007	C020	32.041	0.4550
T0007	C021	60.187	0.6603
T0007	C022	55.056	0.4053
T0007	C023	50.736	0.7009
T0007	C024	14.859	0.4540
T0007	C025	40.632	0.3908
T0007	C026	56.555	0.3466
T0007	C027	54.501	0.4457
T0007	C028	28.947	0.3171
T0007	C029	36.754	0.5950
T0007	C030	50.954	0.6548
T0007	C031	43.517	0.3479
T0007	C032	27.908	0.3002
T0007	C033	46.664	0.3671
T0007	C034	33.418	0.6731
T0007	C035	44.406	0.3161
T0007	C036	44.163	0.4106
T0007	C037	24.818	0.5353
T0007	C038	49.332	0.7280
T0007	C039	45.871	0.3689
T0007	C040	37.958	0.5249
T0007	C041	32.271	0.6163
T0007	C042	52.382	0.4566
T0007	C043	38.416	0.7023
T0007	C044	61.437	0.4274
T0007	C045	46.504	0.4570
T0007	C046	54.545	0.4610
T0007	C047	35.929	0.4743
T0007	C048	47.888	0.5175
T0007	C049	38.782	0.4086
T0007	C050	39.009	0.6615
T0007	C051	15.577	0.2502
T0007	C052	12.836	0.3679
T0007	C053	52.316	0.4834
T0007	C054	50.779	0.4912
T0007	C055	46.928	0.6242
T0007	C056	43.927	0.6008
