task_id_list	courier_id	total_score	willingness
T0000	C000	86.718	0.2703
T0000	C001	87.390	0.4538
T0000	C002	74.648	0.3342
T0000	C003	81.320	0.2018
T0000	C004	90.508	0.4471
T0000	C005	81.447	0.4310
T0000	C006	80.712	0.2348
T0000	C007	72.864	0.3852
T0000	C008	80.888	0.3578
T0000	C009	83.526	0.5168
T0000	C010	82.593	0.2871
T0000	C011	73.639	0.4817
T0000	C012	79.300	0.4380
T0000	C013	65.251	0.2999
T0000	C014	67.116	0.2960
T0000	C015	79.519	0.5116
T0000	C016	99.295	0.3527
T0000	C017	71.669	0.5015
T0000	C018	68.501	0.5417
T0000	C019	67.406	0.4826
T0000	C020	77.350	0.3552
T0000	C021	89.811	0.3399
T0000	C022	84.194	0.2252
T0000	C023	77.185	0.3597
T0000	C024	60.959	0.6908
T0000	C025	88.265	0.5453
T0000	C026	91.021	0.5817
T0000	C027	58.857	0.5767
T0000	C028	79.577	0.2803
T0000	C029	94.983	0.2898
T0000	C030	66.774	0.4575
T0000	C031	49.721	0.6114
T0000	C032	65.337	0.3288
T0000	C033	71.056	0.6215
T0000	C034	89.080	0.5995
T0000	C035	89.987	0.2763
T0000	C036	77.474	0.5648
T0000	C037	76.233	0.3533
T0001	C000	69.120	0.4821
T0001	C001	59.138	0.6433
T0001	C002	44.993	0.4035
T0001	C003	47.188	0.5134
T0001	C004	57.081	0.1993
T0001	C005	39.932	0.6495
T0001	C006	48.849	0.5295
T0001	C007	51.379	0.5228
T0001	C008	56.738	0.5257
T0001	C009	30.833	0.5239
T0001	C010	59.109	0.5570
T0001	C011	46.452	0.3587
T0001	C012	44.733	0.6427
T0001	C013	56.392	0.2402
T0001	C014	43.421	0.5939
T0001	C015	59.518	0.7715
T0001	C016	54.291	0.3124
T0001	C017	44.264	0.3906
T0001	C018	41.087	0.4819
T0001	C019	56.882	0.4850
T0001	C020	55.917	0.4784
T0001	C021	62.324	0.3661
T0001	C022	70.293	0.1837
T0001	C023	46.688	0.5367
T0001	C024	49.876	0.4322
T0001	C025	59.180	0.4726
T0001	C026	59.651	0.5290
T0001	C027	38.635	0.5681
T0001	C028	51.961	0.6152
T0001	C029	74.139	0.1957
T0001	C030	41.852	0.3710
T0001	C031	42.391	0.4090
T0001	C032	42.650	0.4420
T0001	C033	40.430	0.6482
T0001	C034	76.225	0.6376
T0001	C035	66.722	0.1809
T0001	C036	51.866	0.3625
T0001	C037	46.420	0.4706
T0002	C000	69.366	0.2731
T0002	C001	48.747	0.6434
T0002	C002	44.620	0.2688
T0002	C003	46.283	0.4425
T0002	C004	52.730	0.4936
T0002	C005	46.477	0.5395
T0002	C006	50.442	0.5937
T0002	C007	39.490	0.5467
T0002	C008	46.813	0.6155
T0002	C009	51.421	0.5955
T0002	C010	45.885	0.5703
T0002	C011	33.143	0.4062
T0002	C012	71.689	0.6896
T0002	C013	47.452	0.2269
T0002	C014	46.546	0.6341
T0002	C015	53.782	0.6791
T0002	C016	68.130	0.3225
T0002	C017	36.771	0.6855
T0002	C018	58.799	0.2327
T0002	C019	48.323	0.6813
T0002	C020	52.628	0.7225
T0002	C021	57.168	0.3254
T0002	C022	65.423	0.5297
T0002	C023	48.324	0.6049
T0002	C024	45.585	0.4368
T0002	C025	68.444	0.5045
T0002	C026	55.542	0.4372
T0002	C027	45.117	0.4951
T0002	C028	56.139	0.2851
T0002	C029	62.443	0.2777
T0002	C030	51.261	0.4889
T0002	C031	37.489	0.7063
T0002	C032	42.291	0.2653
T0002	C033	36.890	0.4480
T0002	C034	66.088	0.4735
T0002	C035	71.797	0.2428
T0002	C036	56.054	0.3963
T0002	C037	55.850	0.4890
T0003	C000	35.834	0.6705
T0003	C001	35.580	0.7177
T0003	C002	20.015	0.3299
T0003	C003	21.405	0.3765
T0003	C004	42.245	0.5695
T0003	C005	33.608	0.5003
T0003	C006	43.265	0.5350
T0003	C007	52.794	0.6563
T0003	C008	41.445	0.3791
T0003	C009	40.338	0.3445
T0003	C010	35.886	0.4757
T0003	C011	28.078	0.7396
T0003	C012	34.229	0.7183
T0003	C013	50.870	0.3795
T0003	C014	56.968	0.3857
T0003	C015	17.842	0.7391
T0003	C016	37.817	0.5282
T0003	C017	29.433	0.5034
T0003	C018	13.437	0.6773
T0003	C019	29.706	0.4487
T0003	C020	55.801	0.6906
T0003	C021	42.829	0.3635
T0003	C022	40.921	0.6082
T0003	C023	29.409	0.6692
T0003	C024	34.239	0.6342
T0003	C025	41.986	0.3809
T0003	C026	23.317	0.5176
T0003	C027	22.917	0.7570
T0003	C028	32.466	0.6249
T0003	C029	49.388	0.5990
T0003	C030	34.061	0.4992
T0003	C031	37.884	0.3384
T0003	C032	24.424	0.4981
T0003	C033	25.240	0.5990
T0003	C034	27.114	0.4983
T0003	C035	35.733	0.5810
T0003	C036	38.103	0.4114
T0003	C037	19.805	0.7237
T0004	C000	67.498	0.5301
T0004	C001	71.353	0.5388
T0004	C002	74.310	0.5573
T0004	C003	63.162	0.2506
T0004	C004	80.956	0.4267
T0004	C005	47.487	0.5980
T0004	C006	55.590	0.4832
