task_id_list	courier_id	total_score	willingness
T0000	C000	62.294	0.3516
T0000	C001	58.069	0.2119
T0000	C002	50.611	0.5997
T0000	C003	62.071	0.4872
T0000	C004	58.440	0.7376
T0000	C005	57.956	0.2918
T0000	C006	61.175	0.3162
T0000	C007	60.422	0.2147
T0000	C008	49.213	0.3958
T0000	C009	51.450	0.2321
T0000	C010	43.420	0.2814
T0000	C011	45.064	0.5708
T0000	C012	48.790	0.3894
T0000	C013	51.903	0.4020
T0000	C014	52.621	0.4480
T0000	C015	52.950	0.3396
T0000	C016	42.249	0.4882
T0000	C017	46.158	0.2851
T0000	C018	60.350	0.4592
T0000	C019	61.454	0.3444
T0000	C020	42.221	0.4246
T0000	C021	51.621	0.5213
T0000	C022	50.830	0.5997
T0000	C023	35.942	0.4364
T0000	C024	33.973	0.6171
T0000	C025	43.024	0.5376
T0000	C026	50.825	0.5085
T0000	C027	58.997	0.4446
T0000	C028	51.853	0.5796
T0000	C029	49.113	0.4760
T0000	C030	52.639	0.3261
T0000	C031	49.749	0.4695
T0000	C032	49.385	0.4877
T0000	C033	66.085	0.1586
T0000	C034	36.066	0.5754
T0000	C035	36.511	0.6819
T0000	C036	53.315	0.4801
T0000	C037	47.662	0.3807
T0000	C038	66.597	0.3345
T0000	C039	51.154	0.6372
T0000	C040	65.122	0.4620
T0000	C041	31.800	0.6473
T0000	C042	50.045	0.5273
T0000	C043	65.334	0.7017
T0000	C044	44.516	0.7738
T0000	C045	44.043	0.5005
T0000	C046	66.733	0.3720
T0000	C047	62.054	0.2792
T0001	C000	74.415	0.1896
T0001	C001	73.655	0.3350
T0001	C002	71.436	0.6335
T0001	C003	68.918	0.5443
T0001	C004	57.830	0.3219
T0001	C005	67.005	0.4606
T0001	C006	100.020	0.3199
T0001	C007	77.745	0.1566
T0001	C008	78.146	0.3140
T0001	C009	60.344	0.6437
T0001	C010	82.305	0.4884
T0001	C011	49.692	0.6663
T0001	C012	70.608	0.2000
T0001	C013	76.543	0.6426
T0001	C014	76.030	0.4314
T0001	C015	60.803	0.2424
T0001	C016	65.577	0.3245
T0001	C017	48.473	0.4658
T0001	C018	75.086	0.5902
T0001	C019	69.903	0.4618
T0001	C020	53.460	0.6615
T0001	C021	71.405	0.6968
T0001	C022	63.096	0.5845
T0001	C023	58.239	0.4061
T0001	C024	79.307	0.3690
T0001	C025	76.710	0.7070
T0001	C026	55.770	0.2081
T0001	C027	92.993	0.4789
T0001	C028	59.599	0.3753
T0001	C029	73.868	0.4722
T0001	C030	73.306	0.5218
T0001	C031	75.346	0.3901
T0001	C032	75.005	0.4651
T0001	C033	83.245	0.5530
T0001	C034	73.548	0.6109
T0001	C035	52.638	0.2857
T0001	C036	79.634	0.5342
T0001	C037	82.060	0.1655
T0001	C038	75.649	0.2966
T0001	C039	63.856	0.2881
T0001	C040	80.417	0.4715
T0001	C041	60.884	0.7950
T0001	C042	74.373	0.3727
T0001	C043	87.750	0.3784
T0001	C044	87.440	0.5267
T0001	C045	69.140	0.2827
T0001	C046	60.283	0.3142
T0001	C047	68.818	0.5902
T0002	C000	43.303	0.4942
T0002	C001	58.084	0.3013
T0002	C002	39.849	0.3796
T0002	C003	75.326	0.4405
T0002	C004	66.896	0.4457
T0002	C005	74.839	0.6350
T0002	C006	100.650	0.2776
T0002	C007	44.596	0.5043
T0002	C008	42.051	0.5113
T0002	C009	54.329	0.5433
T0002	C010	45.629	0.4414
T0002	C011	56.009	0.6335
T0002	C012	62.165	0.4954
T0002	C013	53.232	0.6091
T0002	C014	74.213	0.2991
T0002	C015	66.395	0.2964
T0002	C016	34.584	0.3489
T0002	C017	52.600	0.2682
T0002	C018	55.239	0.3156
T0002	C019	56.884	0.6464
T0002	C020	42.039	0.5649
T0002	C021	57.355	0.3617
T0002	C022	50.905	0.5555
T0002	C023	57.497	0.4171
T0002	C024	43.558	0.4570
T0002	C025	62.706	0.2781
T0002	C026	32.228	0.4279
T0002	C027	55.084	0.2832
T0002	C028	47.811	0.4100
T0002	C029	51.304	0.6993
T0002	C030	59.956	0.2670
T0002	C031	63.496	0.3334
T0002	C032	69.003	0.6026
T0002	C033	77.914	0.3771
T0002	C034	48.136	0.6478
T0002	C035	35.858	0.5060
T0002	C036	67.914	0.2910
T0002	C037	59.338	0.4134
T0002	C038	64.857	0.2457
T0002	C039	47.624	0.5497
T0002	C040	69.525	0.3327
T0002	C041	48.090	0.6041
T0002	C042	60.805	0.4276
T0002	C043	52.871	0.6345
T0002	C044	29.410	0.7598
T0002	C045	40.153	0.4077
T0002	C046	63.579	0.3041
T0002	C047	82.435	0.3078
T0003	C000	93.007	0.3926
T0003	C001	89.336	0.3459
T0003	C002	92.749	0.2687
T0003	C003	97.494	0.5767
T0003	C004	81.358	0.3794
T0003	C005	87.194	0.3723
T0003	C006	112.411	0.2332
T0003	C007	100.420	0.2551
T0003	C008	126.086	0.4832
T0003	C009	89.395	0.2751
T0003	C010	108.080	0.1902
T0003	C011	81.974	0.5896
T0003	C012	75.309	0.2306
T0003	C013	96.920	0.4590
T0003	C014	76.834	0.3803
T0003	C015	73.232	0.4097
T0003	C016	103.162	0.2753
T0003	C017	73.668	0.3386
T0003	C018	107.965	0.2619
T0003	C019	109.160	0.5209
T0003	C020	103.080	0.3349
T0003	C021	86.712	0.1917
T0003	C022	85.395	0.2848
T0003	C023	88.464	0.4411
T0003	C024	96.994	0.1627
T0003	C025	106.001	0.3247
